;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 07 CLASES PASIVAS;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
07.01;;PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;42;A la Seguridad Social;;249,75;
;420;Aportación del Estado al Presupuesto de la Seguridad Social para dar cumplimiento a lo dispuesto en la disposición adicional tercera del Real Decreto Legislativo 8/2015, de 30 de octubre (Pensiones extraordinarias del personal de las Fuerzas Armadas y Fuerzas y Cuerpos de Seguridad del Estado);;249,75;
;;TOTAL TRANSFERENCIAS CORRIENTES;;249,75;
 ; ;;;;
;;TOTAL PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS;;249,75;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;249,75;
;;



