;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;R.ENTIDADES;Total;
141M; Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación;95.878,53;;95.878,53;
142A; Acción del Estado en el exterior;855.757,36;;855.757,36;
142B; Acción Diplomática ante la Unión Europea;24.399,75;;24.399,75;
143A; Cooperación para el desarrollo;298.861,64;699.189,55;998.051,19;
144A; Cooperación, promoción y difusión cultural en el exterior;;148.422,95;148.422,95;
467G; Investigación y desarrollo de la Sociedad de la Información;1.759,66;;1.759,66;
;TOTAL CONSOLIDADO;1.276.656,94;847.612,50;2.124.269,44;
000X; Transferencias y libramientos internos;664.535,54;;664.535,54;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;664.535,54;;664.535,54;
;TOTAL;1.941.192,48;847.612,50;2.788.804,98;
;;



