;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 111R Formación de la Carrera Fiscal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.101;;CENTRO DE ESTUDIOS JURÍDICOS;;;
;1;GASTOS DE PERSONAL;;;
;16000; Seguridad Social;654,79;;
;;TOTAL GASTOS DE PERSONAL;;3.856,58;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.942,81;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;4.287,76;
;481;Becas para la preparación de oposiciones de las carreras judicial y fiscal;;4.287,76;
;49;Al exterior;;25,03;
;491;Cuotas y aportaciones Organismos Internacionales;;15,03;
;493;Otras aportaciones a proyectos europeos;;10,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;4.312,79;
 ; ;;;;
;;TOTAL CENTRO DE ESTUDIOS JURÍDICOS;;10.112,18;
 ; ;;;;
 ; ;;;;
;;TOTAL Formación de la Carrera Fiscal;;10.112,18;
;;



