;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 462M Investigación y estudios sociológicos y constitucionales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.103;;CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;181,39;
;150;Productividad;;163,07;
;151;Gratificaciones;;18,32;
;16000; Seguridad Social;344,29;;
;16200; Formación y perfeccionamiento del personal;3,67;;
;16204; Acción social;65,81;;
;;TOTAL GASTOS DE PERSONAL;;2.618,31;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;12,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.424,20;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;166,10;
;481;A familias e Instituciones sin fines de lucro.;;138,00;
;482;Premios concedidos por el CEPC;;23,00;
;483;A entidades culturales;;5,10;
;48301; A la Unión de Editoriales Universitarias Españolas (UNE);3,10;;
;48302; A la Red de Bibliotecas Universitarias Españolas (REBIUN);1,30;;
;48303; A la Asociación Española de Ciencia Política y de la Administración (AECPA);0,40;;
;48304; A la Sociedad Española de Documentación e Información Científica (SEDIC);0,30;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;166,10;
 ; ;;;;
;6;INVERSIONES REALES;;300,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;10,03;
;830;Préstamos a corto plazo;;5,03;
;831;Préstamos a largo plazo;;5,00;
;;TOTAL ACTIVOS FINANCIEROS;;10,03;
 ; ;;;;
;;TOTAL CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;;4.518,64;
 ; ;;;;
 ; ;;;;
13.104;;CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;378,53;
;150;Productividad;;376,20;
;151;Gratificaciones;;2,33;
;16000; Seguridad Social;651,29;;
;16200; Formación y perfeccionamiento del personal;12,33;;
;16204; Acción social;65,81;;
;;TOTAL GASTOS DE PERSONAL;;4.771,20;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;6,20;;
;22601; Atenciones protocolarias y representativas;3,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;6.582,89;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;258,00;
;481;Becas a postgraduados;;258,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;258,00;
 ; ;;;;
;6;INVERSIONES REALES;;1.035,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;12,02;
;830;Préstamos a corto plazo;;6,01;
;831;Préstamos a largo plazo;;6,01;
;;TOTAL ACTIVOS FINANCIEROS;;12,02;
 ; ;;;;
;;TOTAL CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;;12.659,11;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y estudios sociológicos y constitucionales;;17.177,75;
;;



