;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 921S Asesoramiento y defensa de los intereses del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.04;;ABOGACÍA GENERAL DEL ESTADO;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;193,20;
;12;Funcionarios;;31.757,45;
;13;Laborales;;189,19;
;14;Otro personal;;157,18;
;15;Incentivos al rendimiento;;3.728,40;
;150;Productividad;;3.728,40;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.575,15;
;16000; Seguridad Social;2.525,15;;
;16200; Formación y perfeccionamiento del personal;50,00;;
;;TOTAL GASTOS DE PERSONAL;;38.600,57;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;1.236,71;
;202;Arrendamientos de edificios y otras construcciones;;1.236,71;
;21;Reparaciones, mantenimiento y conservación;;246,82;
;22;Material, suministros y otros;;2.196,47;
;22502; Locales;137,00;;
;23;Indemnizaciones por razón del servicio;;268,25;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.948,25;
 ; ;;;;
;6;INVERSIONES REALES;;2.088,41;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;20,28;
;830;Préstamos a corto plazo;;4,80;
;831;Préstamos a largo plazo;;15,48;
;;TOTAL ACTIVOS FINANCIEROS;;20,28;
 ; ;;;;
;;TOTAL ABOGACÍA GENERAL DEL ESTADO;;44.657,51;
 ; ;;;;
 ; ;;;;
;;TOTAL Asesoramiento y defensa de los intereses del Estado;;44.657,51;
;;



