;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 121N Formación del Personal de las Fuerzas Armadas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.01;;MINISTERIO Y SUBSECRETARÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;354.928,45;
;13;Laborales;;30.900,92;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;39.860,34;
;16000; Seguridad Social;39.860,34;;
;;TOTAL GASTOS DE PERSONAL;;425.689,71;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;4,00;
;21;Reparaciones, mantenimiento y conservación;;280,18;
;22;Material, suministros y otros;;3.569,47;
;23;Indemnizaciones por razón del servicio;;1.345,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;5.198,65;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;13.348,88;
;440;Centros Universitarios de la Defensa;;13.348,88;
;44001; Centro Universitario de la Defensa en la Academia General del Aire de San Javier;3.100,00;;
;44002; Centro Universitario de la Defensa en la Academia General Militar de Zaragoza;6.317,00;;
;44003; Centro Universitario de la Defensa en la Escuela Naval Militar de Marín;3.041,88;;
;44004; Centro Universitario de la Defensa en la Academia Central de la Defensa de Madrid;890,00;;
;45;A Comunidades Autónomas;;10.003,41;
;450;Transferencias a CCAA. Formación Escuelas de Suboficiales;;9.893,41;
;452;Convenio con comunidades autónomas. Colaboración en materia de acciones formativas y desarrollo profesional;;110,00;
;48;A familias e instituciones sin fines de lucro;;954,66;
;485;A organismos específicos, servicios, asociaciones, instituciones, entidades de fomento y otros;;12,16;
;487;Becas de estudios para personal de las Fuerzas Armadas;;392,50;
;488;Ayudas a alumnos extranjeros en centros docentes de las Fuerzas Armadas;;550,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;24.306,95;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
