;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 122M Gastos Operativos de las Fuerzas Armadas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;14.01;14.02;14.03;14.12;14.17;14.22;;;Total;
1;GASTOS DE PERSONAL;1.749.938,69;;4.000,00;;;;;;1.753.938,69;
12; Funcionarios;1.473.206,99;;4.000,00;;;;;;1.477.206,99;
13; Laborales;40.719,39;;;;;;;;40.719,39;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;236.012,31;;;;;;;;236.012,31;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;20.495,27;147.873,22;84.530,26;16.275,18;72.025,68;;;341.199,61;
20; Arrendamientos y cánones;;79,20;16.271,85;;;2.073,10;;;18.424,15;
21; Reparaciones, mantenimiento y conservación;;464,38;2.054,00;;;1.820,00;;;4.338,38;
22; Material, suministros y otros;;15.041,69;124.944,65;84.530,26;16.275,18;63.802,43;;;304.594,21;
23; Indemnizaciones por razón del servicio;;4.910,00;4.602,72;;;4.330,15;;;13.842,87;
6;INVERSIONES REALES;;;210.360,10;;;65,00;;;210.425,10;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;;;210.360,10;;;65,00;;;210.425,10;
;TOTAL;1.749.938,69;20.495,27;362.233,32;84.530,26;16.275,18;72.090,68;;;2.305.563,40;
;;



