;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 464A Investigación y estudios de las Fuerzas Armadas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.01;;MINISTERIO Y SUBSECRETARÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;4.858,50;
;13;Laborales;;568,71;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;365,87;
;16000; Seguridad Social;365,87;;
;;TOTAL GASTOS DE PERSONAL;;5.793,08;
 ; ;;;;
;;TOTAL MINISTERIO Y SUBSECRETARÍA;;5.793,08;
 ; ;;;;
 ; ;;;;
14.03;;SECRETARÍA DE ESTADO DE DEFENSA;;;
;6;INVERSIONES REALES;;30.540,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;;30.540,00;
 ; ;;;;
 ; ;;;;
14.101;;INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;3.992,23;
;150;Productividad;;2.737,84;
;151;Gratificaciones;;267,67;
;153;Complemento de dedicación especial;;986,72;
;16000; Seguridad Social;15.837,76;;
;16200; Formación y perfeccionamiento del personal;156,03;;
;16201; Economatos y comedores;177,06;;
;16204; Acción social;206,32;;
;;TOTAL GASTOS DE PERSONAL;;78.288,35;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;150,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;56.399,13;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;310,00;
;352;Intereses de demora;;300,00;
;359;Otros gastos financieros;;10,00;
;;TOTAL GASTOS FINANCIEROS;;310,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;1.317,65;
;480;A familias e instituciones sin fines de lucro;;1.250,00;
;485;A organismos específicos, servicios, etc;;67,05;
;48501; Al Real Aeroclub de Lugo;30,00;;
;486;Pensiones e indemnizaciones;;0,60;
;49;Al exterior;;351,13;
;490;A organismos internacionales;;351,13;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.668,78;
 ; ;;;;
;6;INVERSIONES REALES;;58.852,14;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;250,00;
;831;Préstamos a largo plazo;;250,00;
;;TOTAL ACTIVOS FINANCIEROS;;250,00;
 ; ;;;;
;;TOTAL INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;195.768,40;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y estudios de las Fuerzas Armadas;;232.101,48;
;;



