;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 912Q Asesoramiento para la protección de los intereses nacionales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;14.301;;Total;
1;GASTOS DE PERSONAL;216.651,66;;216.651,66;
12; Funcionarios;216.651,66;;216.651,66;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;56.929,09;;56.929,09;
22; Material, suministros y otros;56.929,09;;56.929,09;
6;INVERSIONES REALES;60.177,29;;60.177,29;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;60.177,29;;60.177,29;
7;TRANSFERENCIAS DE CAPITAL;50,00;;50,00;
79; Al exterior;50,00;;50,00;
8;ACTIVOS FINANCIEROS;300,00;;300,00;
83; Concesión de préstamos fuera del Sector Público;300,00;;300,00;
;TOTAL;334.108,04;;334.108,04;
;;



