;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 337B Conservación y restauración de bienes culturales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
15.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;8.027,14;
;443;Al Consorcio "Ciudad de Santiago de Compostela";;4.783,16;
;444;Al Consorcio de la Ciudad de Toledo;;1.621,99;
;445;Al Consorcio de la Ciudad de Cuenca;;1.621,99;
;;TOTAL TRANSFERENCIAS CORRIENTES;;8.027,14;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;8.027,14;
 ; ;;;;
 ; ;;;;
;;TOTAL Conservación y restauración de bienes culturales;;8.027,14;
;;



