;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 923A Gestión del Patrimonio del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
15.04;;DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,05;
;12;Funcionarios;;6.075,09;
;13;Laborales;;48,30;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;500,00;
;16000; Seguridad Social;500,00;;
;;TOTAL GASTOS DE PERSONAL;;6.684,44;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;993,84;
;22;Material, suministros y otros;;4.835,70;
;22502; Locales;1.184,03;;
;22601; Atenciones protocolarias y representativas;2,34;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;5.829,54;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;90,00;
;352;Intereses de demora;;90,00;
;;TOTAL GASTOS FINANCIEROS;;90,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;8,00;
;482;Cuota al Foro de Contratación Socialmente Responsable;;8,00;
;49;Al exterior;;9,31;
;494;Cuota Organización PuRE-net (Public Real Estate Network);;2,50;
;496;Cuota a la Asociación XBRL España;;2,00;
;497;Cuota al Centro Europeo de Empresas Públicas (CEEP);;4,81;
;;TOTAL TRANSFERENCIAS CORRIENTES;;17,31;
 ; ;;;;
;6;INVERSIONES REALES;;43.911,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;85;Adquisición de acciones y participaciones del Sector Público;;170.000,00;
;850;Adquisición de acciones y participaciones del Sector Público;;170.000,00;
;86;Adquisición de acciones y participaciones de fuera del Sector Público;;250,00;
;863;Pago de otros justiprecios;;250,00;
;;TOTAL ACTIVOS FINANCIEROS;;170.250,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO;;226.782,29;
 ; ;;;;
 ; ;;;;
;;TOTAL Gestión del Patrimonio del Estado;;226.782,29;
;;



