;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 923N Formación del personal de Economía y Hacienda;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.101;;Total;
1;GASTOS DE PERSONAL;15.946,53;;15.946,53;
12; Funcionarios;11.753,80;;11.753,80;
15; Incentivos al rendimiento;292,40;;292,40;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.900,33;;3.900,33;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.111,04;;8.111,04;
20; Arrendamientos y cánones;59,98;;59,98;
21; Reparaciones, mantenimiento y conservación;243,98;;243,98;
22; Material, suministros y otros;1.327,07;;1.327,07;
23; Indemnizaciones por razón del servicio;6.480,01;;6.480,01;
3;GASTOS FINANCIEROS;6,75;;6,75;
35; Intereses de demora y otros gastos financieros;6,75;;6,75;
4;TRANSFERENCIAS CORRIENTES;210,00;;210,00;
48; A familias e instituciones sin fines de lucro;210,00;;210,00;
6;INVERSIONES REALES;810,00;;810,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;17,53;;17,53;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;792,47;;792,47;
8;ACTIVOS FINANCIEROS;35,74;;35,74;
83; Concesión de préstamos fuera del Sector Público;35,74;;35,74;
;TOTAL;25.120,06;;25.120,06;
;;



