;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 932N Resolución de reclamaciones económico-administrativas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
15.09;;TRIBUNAL ECONÓMICO-ADMINISTRATIVO CENTRAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,05;
;12;Funcionarios;;27.200,77;
;13;Laborales;;552,67;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.450,00;
;16000; Seguridad Social;1.450,00;;
;;TOTAL GASTOS DE PERSONAL;;29.264,49;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;129,49;
;22;Material, suministros y otros;;389,99;
;22601; Atenciones protocolarias y representativas;11,75;;
;23;Indemnizaciones por razón del servicio;;81,73;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;601,21;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;49;Al exterior;;1,00;
;495;Cuota participación en "Asociación Iberoamericana de Tribunales de Justicia Fiscal o Administrativa";;1,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1,00;
 ; ;;;;
;6;INVERSIONES REALES;;1.430,56;
 ; ;;;;
;;TOTAL TRIBUNAL ECONÓMICO-ADMINISTRATIVO CENTRAL;;31.297,26;
 ; ;;;;
 ; ;;;;
;;TOTAL Resolución de reclamaciones económico-administrativas;;31.297,26;
;;



