Clasificación por programas;Explicación;Estado ;OO.AA. ;Resto Entidades ;Total (miles euros);Total (euros)
337B;Conservación y restauración de bienes culturales;8.027,14;—;—;8.027,14;8.027.140,00
42KD;C11.I04 Transición Energética AGE;30.410,76;—;—;30.410,76;30.410.760,00
422A;Incentivos regionales a la localización industrial;144.055,26;—;—;144.055,26;144.055.260,00
462N;Investigación y estudios estadísticos y económicos;—;6.512,02;—;6.512,02;6.512.020,00
467G;I+D Sociedad de la Información;14.851,76;—;—;14.851,76;14.851.760,00
492N;Regulación y vigilancia del Mercado de Tabacos;—;8.717,91;—;8.717,91;8.717.910,00
92SC;C19.I03 Competencias digitales para el empleo;—;2.941,00;—;2.941,00;2.941.000,00
921T;Servicios de transportes de Ministerios;—;48.534,32;—;48.534,32;48.534.320,00
922N;Coordinación financiera con Entes Territoriales;16.008.898,70;—;—;16.008.898,70;16.008.898.700,00
923A;Gestión del Patrimonio del Estado;226.782,29;—;—;226.782,29;226.782.290,00
923M;Dirección y Servicios Generales Hacienda y Función Pública;1.089.651,47;—;—;1.089.651,47;1.089.651.470,00
923N;Formación del personal de Economía y Hacienda;—;25.120,06;—;25.120,06;25.120.060,00
93KE;C11.I05 Transformación Administración Financiera y Tributaria;467;—;—;467;467.000,00
931N;Política presupuestaria;77.089,23;—;—;77.089,23;77.089.230,00
931O;Política tributaria;5.969,21;—;—;5.969,21;5.969.210,00
931P;Control interno y Contabilidad Pública;92.289,02;—;—;92.289,02;92.289.020,00
931Q;Supervisión de la Política Fiscal;—;—;10.578,90;10.578,90;10.578.900,00
932A;Aplicación del sistema tributario estatal;—;—;1.395.873,89;1.395.873,89;1.395.873.890,00
932M;Gestión del catastro inmobiliario;114.037,93;—;—;114.037,93;114.037.930,00
932N;Reclamaciones económico-administrativas;31.297,26;—;—;31.297,26;31.297.260,00
—;TOTAL CONSOLIDADO;17.843.827,03;91.825,31;1.406.452,79;19.342.105,13;19.342.105.130,00
000X;Transferencias y libramientos internos;1.400.525,49;21.453,66;—;1.421.979,15;1.421.979.150,00
—;TOTAL GENERAL;19.244.352,52;113.278,97;1.406.452,79;20.764.084,28;20.764.084.280,00
