;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 131O Fuerzas y Cuerpos en reserva;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
16.03;;DIRECCIÓN GENERAL DE LA POLICÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;93.424,68;
;;TOTAL GASTOS DE PERSONAL;;93.424,68;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA POLICÍA;;93.424,68;
 ; ;;;;
 ; ;;;;
16.04;;DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;211.295,47;
;;TOTAL GASTOS DE PERSONAL;;211.295,47;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;211.295,47;
 ; ;;;;
 ; ;;;;
;;TOTAL Fuerzas y Cuerpos en reserva;;304.720,15;
;;



