;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 131O Fuerzas y Cuerpos en reserva;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.03;16.04;Total;
1;GASTOS DE PERSONAL;93.424,68;211.295,47;304.720,15;
12; Funcionarios;93.424,68;211.295,47;304.720,15;
;TOTAL;93.424,68;211.295,47;304.720,15;
;;



