;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 132A Seguridad ciudadana;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.02;16.03;16.04;16.102;;Total;
1;GASTOS DE PERSONAL;27.865,10;3.194.292,49;2.886.282,78;1.772,21;;6.110.212,58;
10; Altos cargos;212,41;74,84;74,81;;;362,06;
11; Personal eventual;250,13;51,07;56,47;;;357,67;
12; Funcionarios;25.830,33;2.776.116,16;2.539.243,83;1.401,69;;5.342.592,01;
13; Laborales;366,57;14.567,98;5.651,33;43,98;;20.629,86;
15; Incentivos al rendimiento;;221.004,46;221.608,46;241,64;;442.854,56;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.205,66;182.477,98;119.647,88;84,90;;303.416,42;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;177.647,78;448.741,82;349.855,50;483,53;;976.728,63;
20; Arrendamientos y cánones;40,00;30.253,24;15.249,00;10,00;;45.552,24;
21; Reparaciones, mantenimiento y conservación;11.815,00;41.055,81;92.394,00;61,11;;145.325,92;
22; Material, suministros y otros;164.842,78;324.666,33;192.933,50;385,98;;682.828,59;
23; Indemnizaciones por razón del servicio;950,00;52.766,44;49.279,00;26,44;;103.021,88;
3;GASTOS FINANCIEROS;0,76;167,20;200,00;;;367,96;
35; Intereses de demora y otros gastos financieros;0,76;167,20;200,00;;;367,96;
4;TRANSFERENCIAS CORRIENTES;46.680,63;2.587,16;1.268,30;;;50.536,09;
45; A Comunidades Autónomas;;;485,00;;;485,00;
48; A familias e instituciones sin fines de lucro;1.285,00;359,75;278,30;;;1.923,05;
49; Al exterior;45.395,63;2.227,41;505,00;;;48.128,04;
6;INVERSIONES REALES;109.263,77;56.141,11;98.071,04;11.100,00;;274.575,92;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;;;;269,00;;269,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;89.253,77;15.333,60;11.844,00;550,00;;116.981,37;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;19.910,00;40.807,51;86.227,04;10.281,00;;157.225,55;
64; Gastos de inversiones de carácter inmaterial;100,00;;;;;100,00;
7;TRANSFERENCIAS DE CAPITAL;2.425,00;;;2.000,00;;4.425,00;
76; A Entidades Locales;;;;2.000,00;;2.000,00;
79; Al exterior;2.425,00;;;;;2.425,00;
8;ACTIVOS FINANCIEROS;;100,00;47,12;10,00;;157,12;
83; Concesión de préstamos fuera del Sector Público;;100,00;47,12;10,00;;157,12;
9;PASIVOS FINANCIEROS;;;4,87;;;4,87;
91; Amortización de préstamos en euros;;;4,27;;;4,27;
94; Devolución de depósitos y fianzas;;;0,60;;;0,60;
;TOTAL;363.883,04;3.702.029,78;3.335.729,61;15.365,74;;7.417.008,17;
;;



