;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 441N Subvenciones y apoyo al transporte marítimo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.32;;DIRECCIÓN GENERAL DE MARINA MERCANTE;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;16,31;
;353;Intereses de demora por Sentencias, Recursos y Reclamaciones, incluidas obligaciones de ejercicios anteriores;;16,31;
;;TOTAL GASTOS FINANCIEROS;;16,31;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;15.433,34;
;442;Compensación económica a Empresas Públicas o privadas de transporte marítimo por la prestación del servicio de navegaciones de interés público;;15.433,34;
;48;A familias e instituciones sin fines de lucro;;168.499,27;
;481;Para satisfacer la bonificación a residentes no peninsulares por traslado a la Península y regreso por vía marítima, así como por los traslados interinsulares;;158.499,27;
;484;Para satisfacer bonificaciones en billetes de transporte marítimo expedidos a familias numerosas;;10.000,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;183.932,61;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE MARINA MERCANTE;;183.948,92;
 ; ;;;;
 ; ;;;;
;;TOTAL Subvenciones y apoyo al transporte marítimo;;183.948,92;
;;



