;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 451M Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;17.101;;Total;
1;GASTOS DE PERSONAL;21.118,43;;21.118,43;
12; Funcionarios;10.930,61;;10.930,61;
13; Laborales;3.311,71;;3.311,71;
14; Otro personal;1.688,95;;1.688,95;
15; Incentivos al rendimiento;1.320,55;;1.320,55;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.866,61;;3.866,61;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.179,08;;6.179,08;
20; Arrendamientos y cánones;19,17;;19,17;
21; Reparaciones, mantenimiento y conservación;911,24;;911,24;
22; Material, suministros y otros;4.881,67;;4.881,67;
23; Indemnizaciones por razón del servicio;318,38;;318,38;
24; Gastos de publicaciones;48,62;;48,62;
4;TRANSFERENCIAS CORRIENTES;319,72;;319,72;
48; A familias e instituciones sin fines de lucro;244,10;;244,10;
49; Al exterior;75,62;;75,62;
6;INVERSIONES REALES;5.740,00;;5.740,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;800,00;;800,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;4.415,00;;4.415,00;
64; Gastos de inversiones de carácter inmaterial;525,00;;525,00;
8;ACTIVOS FINANCIEROS;38,32;;38,32;
83; Concesión de préstamos fuera del Sector Público;38,32;;38,32;
;TOTAL;33.395,55;;33.395,55;
;;



