;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 454O Comisión de Investigación de Accidentes e Incidentes Marítimos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;17.01;;Total;
1;GASTOS DE PERSONAL;581,88;;581,88;
12; Funcionarios;527,88;;527,88;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;54,00;;54,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;65,30;;65,30;
22; Material, suministros y otros;10,00;;10,00;
23; Indemnizaciones por razón del servicio;55,30;;55,30;
6;INVERSIONES REALES;2.040,00;;2.040,00;
64; Gastos de inversiones de carácter inmaterial;2.040,00;;2.040,00;
;TOTAL;2.687,18;;2.687,18;
;;



