;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 45AA C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;764;A la Mancomunidad Don Benito-Villanueva de la Serena, para la ejecución de actuaciones integradas en el Programa para la implantación de Zonas de bajas emisiones y la transformación del transporte urbano y metropolitano. Mecanismo de Recuperación y Resiliencia;;2.521,40;
;767;Al Ayuntamiento de A Coruña, para la ejecución de actuaciones integradas en el Programa para la implantación de Zonas de bajas emisiones y la transformación del transporte urbano y metropolitano. Mecanismo de Recuperación y Resiliencia;;9.092,00;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;987.148,53;
 ; ;;;;
 ; ;;;;
;;TOTAL C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;;987.148,53;
;;



