Clasificación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (mil euros);Total (euros)
441M;Subvenciones transporte terrestre;—;—;—;1.943.041,89;—;661.200,00;—;—;2.604.241,89;2.604.241.890
441N;Subvenciones transporte marítimo;—;—;16,31;183.932,61;—;—;—;—;183.948,92;183.948.920
441O;Subvenciones transporte aéreo;—;—;—;573.860,05;—;—;—;—;573.860,05;573.860.050
441P;Transporte extrapeninsular mercancías;—;—;—;84.279,24;—;—;—;—;84.279,24;84.279.240
45AA;Zonas bajas emisiones (infraestructura);—;—;—;—;36.148,53;951.000,00;—;—;987.148,53;987.148.530
45AC;Mejora servicio Cercanías;—;—;—;—;—;358.989,77;—;—;358.989,77;358.989.770
45FA;Corredores europeos;—;—;—;—;—;236.816,02;—;—;236.816,02;236.816.020
45FB;Red Transeuropea Transporte;—;—;—;5.061,92;251.582,78;258.340,04;—;—;514.984,74;514.984.740
45FC;Intermodalidad y logística;—;—;—;—;19.810,86;296.870,26;—;—;316.681,12;316.681.120
45FD;Transporte sostenible y digital;—;—;—;40.000,00;—;92.000,00;—;—;132.000,00;132.000.000
45SC;Competencias digitales empleo;—;—;—;11.500,00;—;—;—;—;11.500,00;11.500.000
451M;Asistencia técnica obras públicas;21.118,43;6.179,08;—;319,72;5.740,00;—;38,32;—;33.395,55;33.395.550
451N;Dirección y servicios generales;63.488,86;21.987,70;3.513,31;10.340,90;15.703,80;271.176,10;52.844,94;—;439.055,61;439.055.610
453A;Infraestructura ferroviaria;2.322,86;549,25;—;293.254,00;18.200,00;175.780,00;1.243.138,00;—;1.733.244,11;1.733.244.110
453B;Infraestructura carreteras;35.828,18;759,91;—;—;1.065.624,66;470.534,35;20.800,00;—;1.593.547,10;1.593.547.100
453C;Conservación carreteras;20.184,28;34.725,13;—;—;1.153.500,00;—;—;—;1.208.409,41;1.208.409.410
453M;Ordenación transporte terrestre;5.336,24;2.275,55;—;105;2.800,00;13.788,00;—;—;24.304,79;24.304.790
453N;Supervisión seguridad ferroviaria;6.896,05;2.593,15;—;104,87;6.869,45;—;—;—;16.463,52;16.463.520
453O;Investigación accidentes ferroviarios;414,15;102;—;—;—;—;—;—;516,15;516.150
454M;Seguridad tráfico marítimo;28.700,44;4.630,07;—;1.199,00;2.300,00;—;—;—;36.829,51;36.829.510
454O;Investigación accidentes marítimos;581,88;65,3;—;—;2.040,00;—;—;—;2.687,18;2.687.180
455M;Supervisión aviación civil;26.305,66;54.985,56;10,19;1.881,28;9.744,17;—;5,77;—;92.932,63;92.932.630
455O;Investigación accidentes aviación;1.094,04;98,59;—;—;570,22;—;—;—;1.762,85;1.762.850
46AA;Zonas bajas emisiones (I+D+i);—;—;—;—;2.580,17;—;—;—;2.580,17;2.580.170
46FB;Red Transeuropea (I+D+i);—;—;—;—;30.284,54;—;—;—;30.284,54;30.284.540
46QC;Proyectos I+D público-privados;—;—;—;—;4,47;—;—;—;4,47;4.470
467B;I+D transporte e infraestructuras;—;—;—;—;1.000,00;—;—;—;1.000,00;1.000.000
467G;Sociedad de la Información;—;—;—;—;980;—;—;—;980;980.000
495A;Información geográfica española;19.819,95;4.830,35;12,78;2.040,40;18.908,30;350;—;—;45.961,78;45.961.780
497M;Salvamento y contaminación marítima;—;—;—;157.720,00;—;32.040,00;—;—;189.760,00;189.760.000
000X;Transferencias internas;—;—;—;132.633,15;—;8.420,00;—;27,6;141.080,75;141.080.750
—;TOTAL GENERAL;232.091,02;133.781,64;3.552,59;3.441.274,03;2.644.391,95;3.827.304,54;1.316.827,03;27,6;11.599.250,40;11.599.250.400
