;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
441M; Subvenciones y apoyo al transporte terrestre;;;;1.943.041,89;;661.200,00;;2.604.241,89;;;;2.604.241,89;
441N; Subvenciones y apoyo al transporte marítimo;;;16,31;183.932,61;;;;183.948,92;;;;183.948,92;
441O; Subvenciones y apoyo al transporte aéreo;;;;573.860,05;;;;573.860,05;;;;573.860,05;
441P; Subvenciones al transporte extrapeninsular de mercancías;;;;84.279,24;;;;84.279,24;;;;84.279,24;
45AA; C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;;;;;36.148,53;951.000,00;;987.148,53;;;;987.148,53;
45AC; C01.I03 Actuaciones de mejora de la calidad y fiabilidad en el servicio de Cercanías.;;;;;;358.989,77;;358.989,77;;;;358.989,77;
45FA; C06.I01 Red nacional de transporte: Corredores europeos.;;;;;;236.816,02;;236.816,02;;;;236.816,02;
45FB; C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;;;;5.061,92;251.582,78;258.340,04;;514.984,74;;;;514.984,74;
45FC; C06.I03 Intermodalidad y logística;;;;;19.810,86;296.870,26;;316.681,12;;;;316.681,12;
45FD; C06.I04 Programa de apoyo para un transporte sostenible y digital;;;;40.000,00;;92.000,00;;132.000,00;;;;132.000,00;
45SC; C19.I03 Competencias digitales para el empleo. Transportes y Movilidad.;;;;11.500,00;;;;11.500,00;;;;11.500,00;
451M; Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo;21.118,43;6.179,08;;319,72;5.740,00;;38,32;33.395,55;;;;33.395,55;
451N; Dirección y Servicios Generales de Transportes y Movilidad Sostenible;63.488,86;21.987,70;3.513,31;10.340,90;15.703,80;271.176,10;52.844,94;439.055,61;;;;439.055,61;
453A; Infraestructura del transporte ferroviario;2.322,86;549,25;;293.254,00;18.200,00;175.780,00;1.243.138,00;1.733.244,11;;;;1.733.244,11;
453B; Creación de infraestructura de carreteras;35.828,18;759,91;;;1.065.624,66;470.534,35;20.800,00;1.593.547,10;;;;1.593.547,10;
453C; Conservación y explotación de carreteras;20.184,28;34.725,13;;;1.153.500,00;;;1.208.409,41;;;;1.208.409,41;
453M; Ordenación e inspección del transporte terrestre;5.336,24;2.275,55;;105,00;2.800,00;13.788,00;;24.304,79;;;;24.304,79;
453N; Regulación y supervisión de la seguridad ferroviaria;6.896,05;2.593,15;;104,87;6.869,45;;;16.463,52;;;;16.463,52;
453O; Comisión de Investigación de Accidentes Ferroviarios;414,15;102,00;;;;;;516,15;;;;516,15;
454M; Regulación y seguridad del tráfico marítimo;28.700,44;4.630,07;;1.199,00;2.300,00;;;36.829,51;;;;36.829,51;
454O; Comisión de Investigación de Accidentes e Incidentes Marítimos;581,88;65,30;;;2.040,00;;;2.687,18;;;;2.687,18;
455M; Regulación y supervisión de la aviación civil;26.305,66;54.985,56;10,19;1.881,28;9.744,17;;5,77;92.932,63;;;;92.932,63;
455O; Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;1.094,04;98,59;;;570,22;;;1.762,85;;;;1.762,85;
46AA; C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. I+D+i+Digitalización;;;;;2.580,17;;;2.580,17;;;;2.580,17;
46FB; C06.I02 Red Transeuropea de Transporte. Otras actuaciones. I+D+i+Digitalización;;;;;30.284,54;;;30.284,54;;;;30.284,54;
46QC; C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;;;;;4,47;;;4,47;;;;4,47;
467B; Investigación, desarrollo y experimentación en transporte e infraestructuras;;;;;1.000,00;;;1.000,00;;;;1.000,00;
467G; Investigación y desarrollo de la Sociedad de la Información;;;;;980,00;;;980,00;;;;980,00;
495A; Desarrollo y aplicación de la información geográfica española;19.819,95;4.830,35;12,78;2.040,40;18.908,30;350,00;;45.961,78;;;;45.961,78;
497M; Salvamento y lucha contra la contaminación en la mar;;;;157.720,00;;32.040,00;;189.760,00;;;;189.760,00;
;TOTAL CONSOLIDADO;232.091,02;133.781,64;3.552,59;3.308.640,88;2.644.391,95;3.818.884,54;1.316.827,03;11.458.169,65;;;;11.458.169,65;
000X; Transferencias y libramientos internos;;;;132.633,15;;8.420,00;;141.053,15;27,60;;;141.080,75;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;132.633,15;;8.420,00;;141.053,15;27,60;;;141.080,75;
;TOTAL;232.091,02;133.781,64;3.552,59;3.441.274,03;2.644.391,95;3.827.304,54;1.316.827,03;11.599.222,80;27,60;;;11.599.250,40;
;;



