;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
441M; Subvenciones y apoyo al transporte terrestre;2.604.241,89;;;2.604.241,89;
441N; Subvenciones y apoyo al transporte marítimo;183.948,92;;;183.948,92;
441O; Subvenciones y apoyo al transporte aéreo;573.860,05;;;573.860,05;
441P; Subvenciones al transporte extrapeninsular de mercancías;84.279,24;;;84.279,24;
45AA; C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;987.148,53;;;987.148,53;
45AC; C01.I03 Actuaciones de mejora de la calidad y fiabilidad en el servicio de Cercanías.;358.989,77;;;358.989,77;
45FA; C06.I01 Red nacional de transporte: Corredores europeos.;236.816,02;;;236.816,02;
45FB; C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;514.984,74;;;514.984,74;
45FC; C06.I03 Intermodalidad y logística;316.681,12;;;316.681,12;
45FD; C06.I04 Programa de apoyo para un transporte sostenible y digital;132.000,00;;;132.000,00;
45SC; C19.I03 Competencias digitales para el empleo. Transportes y Movilidad.;11.500,00;;;11.500,00;
451M; Estudios y servicios de asistencia técnica en Obras Públicas y Urbanismo;;33.395,55;;33.395,55;
451N; Dirección y Servicios Generales de Transportes y Movilidad Sostenible;439.055,61;;;439.055,61;
453A; Infraestructura del transporte ferroviario;1.733.244,11;;;1.733.244,11;
453B; Creación de infraestructura de carreteras;1.593.547,10;;;1.593.547,10;
453C; Conservación y explotación de carreteras;1.208.409,41;;;1.208.409,41;
453M; Ordenación e inspección del transporte terrestre;24.304,79;;;24.304,79;
453N; Regulación y supervisión de la seguridad ferroviaria;;;16.463,52;16.463,52;
453O; Comisión de Investigación de Accidentes Ferroviarios;516,15;;;516,15;
454M; Regulación y seguridad del tráfico marítimo;36.829,51;;;36.829,51;
454O; Comisión de Investigación de Accidentes e Incidentes Marítimos;2.687,18;;;2.687,18;
455M; Regulación y supervisión de la aviación civil;10.310,28;;82.622,35;92.932,63;
455O; Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;1.762,85;;;1.762,85;
46AA; C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. I+D+i+Digitalización;2.580,17;;;2.580,17;
46FB; C06.I02 Red Transeuropea de Transporte. Otras actuaciones. I+D+i+Digitalización;30.284,54;;;30.284,54;
46QC; C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;;4,47;;4,47;
467B; Investigación, desarrollo y experimentación en transporte e infraestructuras;;1.000,00;;1.000,00;
467G; Investigación y desarrollo de la Sociedad de la Información;980,00;;;980,00;
495A; Desarrollo y aplicación de la información geográfica española;32.630,42;13.331,36;;45.961,78;
497M; Salvamento y lucha contra la contaminación en la mar;189.760,00;;;189.760,00;
;TOTAL CONSOLIDADO;11.311.352,40;47.731,38;99.085,87;11.458.169,65;
000X; Transferencias y libramientos internos;139.943,52;42,60;1.094,63;141.080,75;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;139.943,52;42,60;1.094,63;141.080,75;
;TOTAL;11.451.295,92;47.773,98;100.180,50;11.599.250,40;
;;



