Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
18.05;12;Funcionarios;967,36;967.360,00
18.05;13;Laborales;328,23;328.230,00
18.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;657,91;657.910,00
18.05;16000;Seguridad Social;657,91;657.910,00
—;—;TOTAL GASTOS DE PERSONAL;1.953,50;1.953.500,00
18.05;22;Material, suministros y otros;18.820,12;18.820.120,00
18.05;22109;Labores Fábrica Nacional Moneda y Timbre;247,37;247.370,00
18.05;23;Indemnizaciones por razón del servicio;1.720,06;1.720.060,00
18.05;24;Gastos de publicaciones;247,35;247.350,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.787,53;20.787.530,00
18.05;44;A entidades del Sector Público Estatal;2.245,73;2.245.730,00
18.05;442;Trabajo Penitenciario y Formación para el Empleo;2.245,73;2.245.730,00
18.05;45;A Comunidades Autónomas;974.959,97;974.959.970,00
18.05;458;Gestión autonómica de iniciativas FP Empleo;974.959,97;974.959.970,00
18.05;45805;Programa especial FP Empleo – Canarias;1.255,90;1.255.900,00
18.05;45810;FP Empleo – País Vasco;71.973,82;71.973.820,00
18.05;48;A familias e instituciones sin fines de lucro;173.370,63;173.370.630,00
18.05;481;Programas de fomento de empleo;160.467,45;160.467.450,00
18.05;482;A centros y entidades de formación;12.903,18;12.903.180,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.150.576,33;1.150.576.330,00
18.05;6;INVERSIONES REALES;5.068,90;5.068.900,00
—;—;TOTAL SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;1.178.386,26;1.178.386.260,00
—;—;TOTAL PROGRAMA 241B – Formación Profesional para el Empleo;1.178.386,26;1.178.386.260,00
