Orgánica;Económico;Explicación;Total (miles  euros);Total (euros)
18.04;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3,87;3.870,00
18.04;16200;Formación y perfeccionamiento del personal;3,87;3.870,00
—;—;TOTAL GASTOS DE PERSONAL;3,87;3.870,00
18.04;21;Reparaciones, mantenimiento y conservación;8,88;8.880,00
18.04;22;Material, suministros y otros;419,43;419.430,00
18.04;23;Indemnizaciones por razón del servicio;372,30;372.300,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;800,61;800.610,00
18.04;48;A familias e instituciones sin fines de lucro;1.032,96;1.032.960,00
18.04;488;Para cursos, becas y ayudas de formación del profesorado;832,96;832.960,00
18.04;489;Otras actuaciones;200,00;200.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.032,96;1.032.960,00
18.04;6;INVERSIONES REALES;10;10.000,00
—;—;TOTAL DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;1.847,44;1.847.440,00
—;—;TOTAL PROGRAMA 321N – Formación permanente del profesorado de Educación;1.847,44;1.847.440,00
