;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 144B Cooperación, promoción y difusión educativa en el exterior;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
18.08;;DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;1.232,23;
;13;Laborales;;88,07;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;28,49;
;16000; Seguridad Social;28,49;;
;;TOTAL GASTOS DE PERSONAL;;1.348,79;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;601,54;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;601,54;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;8.844,87;
;480;Actividades de formación, intercambio, aprendizaje y compensación;;8.844,87;
;49;Al exterior;;448,05;
;491;Cuotas a organismos internacionales y participación en programas educativos;;448,05;
;;TOTAL TRANSFERENCIAS CORRIENTES;;9.292,92;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;;11.243,25;
 ; ;;;;
 ; ;;;;
;;TOTAL Cooperación, promoción y difusión educativa en el exterior;;11.243,25;
;;



