;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 32SB C19.I02 Transformación Digital de la Educación. Educación;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
18.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;1;GASTOS DE PERSONAL;;;
;19;Gastos de personal. Mecanismo de Recuperación y Resiliencia;;1.292,82;
;;TOTAL GASTOS DE PERSONAL;;1.292,82;
 ; ;;;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;59.804,01;
 ; ;;;;
 ; ;;;;
;;TOTAL C19.I02 Transformación Digital de la Educación. Educación;;59.804,01;
;;



