;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
19.01;;MINISTERIO Y SUBSECRETARÍA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;7.383,13;
;435;Al Consejo Económico y Social para el cumplimiento de sus fines;;7.383,13;
;;TOTAL TRANSFERENCIAS CORRIENTES;;7.383,13;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;41,94;
;735;Al Consejo Económico y Social;;41,94;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;41,94;
 ; ;;;;
;;TOTAL MINISTERIO Y SUBSECRETARÍA;;7.425,07;
 ; ;;;;
 ; ;;;;
19.03;;SECRETARÍA DE ESTADO DE TRABAJO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;308.258,25;
;413;Al Servicio Público de Empleo Estatal. Para financiar medidas de reinserción laboral para el colectivo de trabajadores de 50 ó más años.;;92.178,16;
;415;Al Instituto Nacional de Seguridad y Salud en el Trabajo, O.A., M.P.;;23.169,55;
;418;Al O.E. Inspección de Trabajo y Seguridad Social. Para financiar su presupuesto;;192.910,54;
;42;A la Seguridad Social;;6.000,00;
;422;Ayudas previas a la jubilación ordinaria a trabajadores;;6.000,00;
;42200; Ayudas previas a la jubilación ordinaria a trabajadores mayores de 60 años en el sistema de la Seguridad Social.;5.000,00;;
;42201; Ayudas para facilitar la adaptación del sector de la estiba a los cambios de sus relaciones laborales como consecuencia de la sentencia TJUE de 11 de diciembre de 2014.;1.000,00;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;314.258,25;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;5.292,09;
;712;Al Instituto Nacional de Seguridad y Salud en el Trabajo, O.A., M.P.;;925,00;
;718;Al O.E. Inspección de Trabajo y Seguridad Social. Para financiar su presupuesto;;4.367,09;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;5.292,09;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TRABAJO;;319.550,34;
 ; ;;;;
 ; ;;;;
19.101;;SERVICIO PÚBLICO DE EMPLEO ESTATAL;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;144.717,24;
;400;Reserva de gestión directa Servicio Público de Empleo Estatal. Gestión de servicios y programas de políticas activas de empleo en colaboración con órganos de la Administración General del Estado;;3.317,83;
;40000; Reserva de gestión directa Servicio Público de Empleo Estatal. Oportunidades de empleo y fomento de la contratación (EJE 3);17,83;;
;40001; Reserva de gestión directa Servicio Público de Empleo Estatal. Oportunidades de empleo y formación (EJE 2);3.300,00;;
;401;Reserva de gestión directa Servicio Público de Empleo Estatal. Cuotas de seguros de accidentes de alumnos, becas y/o ayudas a alumnos y subvenciones a centros y entidades de formación profesional para el empleo a parados, a órganos de la Administración General del Estado (EJE 2);;1.580,68;
;402;Al Estado, para compensar gastos de gestión centralizada;;7.172,90;
;403;Reserva de gestión directa Servicio Público de Empleo Estatal. Gestión de servicios y programas de políticas activas de empleo en colaboración con órganos de la Administración General del Estado (EJE 3);;25,49;
;404;Para financiar gastos derivados del uso de edificios compartidos;;89,40;
;409;Por las transferencias a las Comunidades Autónomas en políticas activas de empleo;;132.530,94;
;40901; Transferencias en materia de servicios y programas de fomento del empleo (VARIOS EJES);105.194,98;;
;40902; Transferencias en materia de servicios y programas de formación profesional para el empleo (EJE 2);27.335,96;;
;41;A Organismos Autónomos;;89.656,95;
;410;Reserva de gestión directa Servicio Público de Empleo Estatal. Oportunidades de empleo y fomento de la contratación de desempleados en obras y servicios de interés general y social por organismos autónomos de la Administración General del Estado (EJE 3);;5.872,17;
;41001; Jefatura Central de Tráfico;216,48;;
;41003; Instituto de la Cinematografía y de las Artes Audiovisuales;149,82;;
;41004; Instituto Nacional de las Artes Escénicas y de la Música;105,87;;
;41005; Instituto de la Juventud;1.000,00;;
;41008; Consejo de Administración del Patrimonio Nacional;1.400,00;;
;41010; Al organismo estatal Inspección de Trabajo y Seguridad Social;3.000,00;;
;411;Reserva de gestión directa Servicio Público de Empleo Estatal. Servicios y programas de políticas activas de empleo. Oportunidades de empleo y formación. Consejo de Administración del Patrimonio Nacional (EJE 2);;8.280,00;
;415;Al Instituto Nacional de Administración Pública, para la formación del personal al servicio de las Administraciones Públicas (EJE 2);;75.504,78;
;42;A la Seguridad Social;;132,50;
;420;A la Seguridad Social (Gerencia de Informática) para mantenimiento de la aplicación "RINA";;132,50;
;42000; A la Seguridad Social (Gerencia de Informática) para mantenimiento de la aplicación "RINA";132,50;;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;2.697,29;
;430;Servicios y programas de políticas activas de empleo a desarrollar en el exterior. Oportunidades de empleo y formación. A la Agencia Española de Cooperación Internacional para el Desarrollo (AECID) (EJE 2);;1.614,70;
;431;Reserva de gestión directa Servicio Público de Empleo Estatal. Consejo Superior de Investigaciones Científicas. Oportunidades de empleo para desempleados en obras y servicios de interés general y social (EJE 3);;282,09;
;432;Al Centro Nacional de Inteligencia. Mejora ciberseguridad;;800,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;237.203,98;
 ; ;;;;
