;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 421O Calidad y seguridad industrial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.09;;DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;896,90;
;13;Laborales;;106,86;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;147,12;
;16000; Seguridad Social;147,12;;
;;TOTAL GASTOS DE PERSONAL;;1.150,88;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;78;A familias e instituciones sin fines de lucro;;2.625,00;
;789;Plan de Promoción de la Innovación en Calidad y Seguridad Industrial;;2.625,00;
;78901; Potenciación y mejora de la Asociación Española de Normalización (AENOR);1.150,00;;
;78902; Potenciación y mejora de la Entidad Nacional de Acreditación (ENAC);175,00;;
;78903; Potenciación de la Fundación para el Fomento de la Innovación Industrial (FFII);1.300,00;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.625,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;3.775,88;
 ; ;;;;
 ; ;;;;
;;TOTAL Calidad y seguridad industrial;;3.775,88;
;;



