;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 422M Reconversión y reindustrialización;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.09;;DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;1.439,33;
;13;Laborales;;227,68;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;250,17;
;16000; Seguridad Social;250,17;;
;;TOTAL GASTOS DE PERSONAL;;1.917,18;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1.750,00;
;441;Al ICO para compensación de quebrantos por préstamo concedido a Abenewco 1, S.A.U.;;1.750,00;
;49;Al exterior;;28,00;
;490;Contribución de España al presupuesto del Comité del Acero de la OCDE;;28,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.778,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;2.000,00;
;752;A la Comunidad Autónoma de Castilla y León para la potenciación de infraestructuras industriales en Villadangos del Páramo;;2.000,00;
;77;A empresas privadas;;47.079,68;
;775;Para compensación de intereses de préstamos para la construcción naval, incluidas obligaciones de ejercicios anteriores;;47.079,68;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;49.079,68;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;87;Aportaciones patrimoniales;;600.000,00;
;870;Aportaciones patrimoniales;;600.000,00;
;87002; Fondo de Apoyo a la Inversión Industrial Productiva;600.000,00;;
;;TOTAL ACTIVOS FINANCIEROS;;600.000,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;652.774,86;
 ; ;;;;
 ; ;;;;
;;TOTAL Reconversión y reindustrialización;;652.774,86;
;;



