;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 43MA C13.I01 Emprendimiento. PYMES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;441;A la EOI para la estrategia Española Nación Emprendedora. Mecanismo de Recuperación y Resiliencia;;33.400,00;
;44302; A ENISA para la estrategia Española Nación Emprendedora. Mecanismo de Recuperación y Resiliencia;5.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;44.800,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C13.I01 Emprendimiento. PYMES;;44.800,00;
;;



