;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 43NC C14.I03 Estrategias de resiliencia turística para territorios extrapeninsulares.;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;75300; Convenio con la Comunidad Autónoma de Canarias. Estrategia de Resiliencia Turística. Mecanismo de Recuperación y Resiliencia;30.000,00;;
;75301; Convenio con la Comunidad Autónoma de Illes Balears. Estrategia de Resiliencia Turística. Mecanismo de Recuperación y Resiliencia;30.000,00;;
;75302; Convenio con la Ciudad Autónoma de Ceuta. Estrategia de Resiliencia Turística. Mecanismo de Recuperación y Resiliencia;2.000,00;;
;75303; Convenio con la Ciudad Autónoma de Melilla. Estrategia de Resiliencia Turística. Mecanismo de Recuperación y Resiliencia;2.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;64.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C14.I03 Estrategias de resiliencia turística para territorios extrapeninsulares.;;64.000,00;
;;



