;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 464B Apoyo a la innovación tecnológica en el sector de la defensa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.09;;DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;;
;8;ACTIVOS FINANCIEROS;;;
;82;Concesión de préstamos al Sector Público;;255.000,00;
;823;Aportaciones reembolsables a empresas para desarrollo de proyectos tecnológicos industriales cualificados relacionados con Programas de Defensa;;255.000,00;
;83;Concesión de préstamos fuera del Sector Público;;1.346.150,14;
;832;Aportaciones reembolsables a empresas para desarrollo de proyectos tecnológicos industriales cualificados relacionados con Programas de Defensa;;1.346.150,14;
;;TOTAL ACTIVOS FINANCIEROS;;1.601.150,14;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;1.601.150,14;
 ; ;;;;
 ; ;;;;
;;TOTAL Apoyo a la innovación tecnológica en el sector de la defensa;;1.601.150,14;
;;



