;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 467C Investigación y desarrollo tecnológico-industrial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.04;;SECRETARÍA DE ESTADO DE TURISMO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;600,00;
;440;A la Sociedad Mercantil Estatal para la Gestión de la Innovación y las Tecnologías Turísticas, S.A.M.P. (SEGITTUR);;600,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;600,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;6.240,00;
;741;A la Sociedad Mercantil Estatal para la Gestión de la Innovación y las Tecnologías Turísticas, S.A.M.P. (SEGITTUR);;6.240,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;6.240,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TURISMO;;6.840,00;
 ; ;;;;
 ; ;;;;
20.09;;DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;272.000,00;
;834;Concesión de préstamos fuera del Sector Público;;129.000,00;
;838;A Hisdesat para el desarrollo de satélites de uso gubernamental;;143.000,00;
;;TOTAL ACTIVOS FINANCIEROS;;272.000,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;;272.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y desarrollo tecnológico-industrial;;278.840,00;
;;



