;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 49LB C12.I02 Programa de impulso de la Competitividad y Sostenibilidad Industrial. Otras Actuaciones de Carácter Económico;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.103;;Total;
6;INVERSIONES REALES;7.410,00;;7.410,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;7.410,00;;7.410,00;
;TOTAL;7.410,00;;7.410,00;
;;



