Clasifiación por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total (miles  euros);Total (euros)
42LB;C12.I02 Competitividad y Sostenibilidad Industrial e I+D+i;—;—;—;—;—;1.000.000,00;—;1.000.000,00;1.000.000,00;1.000.000.000,00
42MA;C13.I01 Emprendimiento. Industria;—;—;—;3.000,00;—;—;—;3.000,00;3.000,00;3.000.000,00
421M;Dirección y Servicios Generales de Industria y Turismo;36.227,50;13.298,45;1;4.942,06;12.654,28;—;173,94;67.297,23;67.297,23;67.297.230,00
421N;Regulación y protección de la Propiedad Industrial;23.690,00;11.111,74;27,36;8.576,89;9.945,00;—;73,75;53.424,74;53.424,74;53.424.740,00
421O;Calidad y seguridad industrial;1.150,88;—;—;—;2.625,00;—;—;3.775,88;3.775,88;3.775.880,00
422B;Desarrollo industrial;1.982,13;217,18;—;100;—;332.050,00;1,5;334.350,81;334.350,81;334.350.810,00
422M;Reconversión y reindustrialización;1.917,18;—;—;1.778,00;—;49.079,68;600.000,00;652.774,86;652.774,86;652.774.860,00
43MA;C13.I01 Emprendimiento. PYMES;—;—;—;38.400,00;6.400,00;—;—;44.800,00;44.800,00;44.800.000,00
43MB;C13.I02 Crecimiento. PYMES;—;—;—;56.000,00;—;142.000,00;—;198.000,00;198.000,00;198.000.000,00
43MC;C13.I03 Digitalización e Innovación I. PYMES;—;—;—;20.000,00;1.300,00;43.700,00;—;65.000,00;65.000,00;65.000.000,00
43NA;C14.I01 Turismo sostenible;—;330;—;8.000,00;488.670,00;—;—;497.000,00;497.000,00;497.000.000,00
43NB;C14.I02 Digitalización turística;—;—;—;—;—;10.000,00;—;10.000,00;10.000,00;10.000.000,00
43NC;C14.I03 Resiliencia turística extrapeninsular;—;—;—;—;—;64.000,00;—;64.000,00;64.000,00;64.000.000,00
43ND;C14.I04 Competitividad territorial;—;1.391,00;—;—;11.000,00;196.009,00;—;208.400,00;208.400,00;208.400.000,00
432A;Coordinación y promoción del turismo;26.071,47;12.634,25;237;10.581,34;67.507,68;24.920,00;128.125,15;270.076,89;270.076,89;270.076.890,00
433M;Apoyo a la pequeña y mediana empresa;1.722,37;—;—;3.500,00;6.061,13;32.536,59;98.500,00;142.320,09;142.320,09;142.320.090,00
46LB;C12.I02 Competitividad Industrial. I+D+i+Digitalización;—;—;2.000,00;1.456.670,00;1.440.000,00;—;—;2.898.670,00;2.898.670,00;2.898.670.000,00
46NB;C14.I02 Digitalización turística. I+D+i;—;80;—;—;—;41.920,00;—;42.000,00;42.000,00;42.000.000,00
46SC;C19.I03 Competencias digitales para el empleo;—;325;—;53.675,00;—;—;—;54.000,00;54.000,00;54.000.000,00
464B;Innovación tecnológica en defensa;—;—;—;—;—;—;1.601.150,14;1.601.150,14;1.601.150,14;1.601.150.140,00
467C;I+D tecnológico-industrial;—;—;600;—;6.240,00;272.000,00;—;278.840,00;278.840,00;278.840.000,00
49LB;C12.I02 Competitividad Industrial. Otras actuaciones;—;—;—;—;7.410,00;—;—;7.410,00;7.410,00;7.410.000,00
495C;Metrología;3.870,01;2.942,02;0,88;252,62;2.998,91;—;7,65;10.072,09;10.072,09;10.072.090,00
921U;Publicaciones;—;180;—;—;—;—;—;180;180;180.000,00
;Total consolidado;96.631,54;42.509,64;266,24;198.405,91;138.277,00;3.890.420,27;4.140.032,13;8.506.542,73;8.506.542,73;8.506.542.730,00
;Transferencias internas (000X);—;—;—;39.260,72;—;62.729,67;—;101.990,39;101.990,39;101.990.390,00
;Total general;96.631,54;42.509,64;266,24;237.666,63;138.277,00;3.953.149,94;4.140.032,13;8.608.533,12;8.608.533,12;8.608.533.120,00
