;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 415B Mejora de estructuras y mercados pesqueros;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
21.11;;DIRECCIÓN GENERAL DE ORDENACIÓN PESQUERA Y ACUICULTURA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,02;
;12;Funcionarios;;4.212,99;
;13;Laborales;;37,58;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;830,50;
;16000; Seguridad Social;830,50;;
;;TOTAL GASTOS DE PERSONAL;;5.142,09;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;300,00;
;441;Ayudas a la Fundación Biodiversidad para el mantenimiento de las actividades del Observatorio Español de Acuicultura (OESA);;300,00;
;48;A familias e instituciones sin fines de lucro;;698,24;
;483;Ayudas al fomento y apoyo del asociacionismo pesquero;;550,00;
;484;Ayudas a la acuicultura;;20,00;
;487;Becas formación en el área de ordenación pesquera;;100,00;
;488;Becas de perfeccionamiento en comercialización pesquera;;28,24;
;;TOTAL TRANSFERENCIAS CORRIENTES;;998,24;
 ; ;;;;
;6;INVERSIONES REALES;;22.579,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;514,00;
;742;Planes Nacionales de cultivos;;514,00;
;75;A Comunidades Autónomas;;13.100,00;
;755;Programa Operativo FEMP (Fondo Europeo Marítimo y de la Pesca) a CC.AA.;;13.100,00;
;77;A empresas privadas;;20.010,83;
;772;Ayudas desarrollo nueva OCM, productos pesqueros;;18.635,83;
;774;Ayudas a programas operativos de la Unión Europea;;375,00;
;777;Ayudas para compensar los efectos del Covid-19;;1.000,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;33.624,83;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE ORDENACIÓN PESQUERA Y ACUICULTURA;;62.344,16;
 ; ;;;;
 ; ;;;;
;;TOTAL Mejora de estructuras y mercados pesqueros;;62.344,16;
;;



