;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 416A Previsión de riesgos en las producciones agrarias y pesqueras;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
21.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1,50;
;440;Consorcio de Compensación de Seguros. Cobertura de pérdidas del Seguro Agrario Combinado;;1,50;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1,50;
 ; ;;;;
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;1,50;
 ; ;;;;
 ; ;;;;
21.102;;ENTIDAD ESTATAL DE SEGUROS AGRARIOS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;175,04;
;150;Productividad;;154,50;
;151;Gratificaciones;;20,54;
;16000; Seguridad Social;197,47;;
;16200; Formación y perfeccionamiento del personal;10,50;;
;16201; Economatos y comedores;0,24;;
;16204; Acción social;15,95;;
;;TOTAL GASTOS DE PERSONAL;;2.205,96;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.277,29;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;15,00;
;352;Intereses de demora;;15,00;
;;TOTAL GASTOS FINANCIEROS;;15,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;126,00;
;450;Centro de Estudios e Investigación para la Gestión de Riesgos Agrarios y Medioambientales (CEIGRAM), para atender gastos que aseguren y den continuidad a su funcionamiento;;126,00;
;47;A empresas privadas;;317.735,35;
;471;Plan Anual de Seguros Agrarios y liquidación de planes anteriores;;317.735,35;
;47100; Plan Anual de Seguros Agrarios y liquidación de planes anteriores;317.735,35;;
;48;A familias e instituciones sin fines de lucro;;993,80;
;483;Familias e instituciones sin fines de lucro;;28,80;
;484;Asociación Agraria de Jóvenes Agricultores (ASAJA), para atender gastos derivados de su participación en la Comisión General de ENESA y de la realización de actuaciones de apoyo al seguro agrario;;218,50;
;485;Cooperativas Agro-alimentarias de España, U. de Coop. (CAE), para atender gastos derivados de su participación en la Comisión General de ENESA y de la realización de actuaciones de apoyo al seguro agrario;;218,50;
;486;Coordinadora de Organizaciones de Agricultores y Ganaderos- Iniciativa Rural del Estado Español (COAG-IR), para atender gastos derivados de su participación en la Comisión General de ENESA y de la realización de actuaciones de apoyo al seguro agrario;;218,50;
;487;Unión de Pequeños Agricultores y Ganaderos (UPA), para atender gastos derivados de su participación en la Comisión General de ENESA y de la realización de actuaciones de apoyo al seguro agrario;;218,50;
;488;Unión de Uniones de Agricultores y Ganaderos (UdU), para atender gastos derivados de la realización de actuaciones de apoyo al seguro agrario;;91,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;318.855,15;
 ; ;;;;
;6;INVERSIONES REALES;;601,24;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;18,16;
;830;Préstamos a corto plazo;;3,00;
;831;Préstamos a largo plazo;;15,16;
;;TOTAL ACTIVOS FINANCIEROS;;18,16;
 ; ;;;;
;;TOTAL ENTIDAD ESTATAL DE SEGUROS AGRARIOS;;322.972,80;
 ; ;;;;
 ; ;;;;
;;TOTAL Previsión de riesgos en las producciones agrarias y pesqueras;;322.974,30;
;;



