;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 416A Previsión de riesgos en las producciones agrarias y pesqueras;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;21.01;21.102;Total;
1;GASTOS DE PERSONAL;;2.205,96;2.205,96;
12; Funcionarios;;1.772,84;1.772,84;
13; Laborales;;23,46;23,46;
15; Incentivos al rendimiento;;175,04;175,04;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;234,62;234,62;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.277,29;1.277,29;
20; Arrendamientos y cánones;;1,00;1,00;
21; Reparaciones, mantenimiento y conservación;;85,60;85,60;
22; Material, suministros y otros;;1.132,08;1.132,08;
23; Indemnizaciones por razón del servicio;;58,61;58,61;
3;GASTOS FINANCIEROS;;15,00;15,00;
35; Intereses de demora y otros gastos financieros;;15,00;15,00;
4;TRANSFERENCIAS CORRIENTES;1,50;318.855,15;318.856,65;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1,50;;1,50;
45; A Comunidades Autónomas;;126,00;126,00;
47; A empresas privadas;;317.735,35;317.735,35;
48; A familias e instituciones sin fines de lucro;;993,80;993,80;
6;INVERSIONES REALES;;601,24;601,24;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;20,00;20,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;10,00;10,00;
64; Gastos de inversiones de carácter inmaterial;;571,24;571,24;
8;ACTIVOS FINANCIEROS;;18,16;18,16;
83; Concesión de préstamos fuera del Sector Público;;18,16;18,16;
;TOTAL;1,50;322.972,80;322.974,30;
;;



