;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 921M Dirección y Servicios Generales de Política Territorial y Memoria Democrática;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;22.01;;Total;
1;GASTOS DE PERSONAL;26.555,38;;26.555,38;
10; Altos cargos;269,60;;269,60;
11; Personal eventual;530,53;;530,53;
12; Funcionarios;21.530,93;;21.530,93;
13; Laborales;650,43;;650,43;
15; Incentivos al rendimiento;2.060,74;;2.060,74;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.513,15;;1.513,15;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.229,90;;7.229,90;
20; Arrendamientos y cánones;2.894,77;;2.894,77;
21; Reparaciones, mantenimiento y conservación;860,85;;860,85;
22; Material, suministros y otros;3.064,56;;3.064,56;
23; Indemnizaciones por razón del servicio;356,62;;356,62;
24; Gastos de publicaciones;53,10;;53,10;
6;INVERSIONES REALES;7.518,62;;7.518,62;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;70,13;;70,13;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;7.414,78;;7.414,78;
64; Gastos de inversiones de carácter inmaterial;33,71;;33,71;
8;ACTIVOS FINANCIEROS;59,77;;59,77;
83; Concesión de préstamos fuera del Sector Público;59,77;;59,77;
;TOTAL;41.363,67;;41.363,67;
;;



