;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 22 MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;
;Programa: 921P Administración General del Estado en el Territorio;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
22.02;;SECRETARÍA DE ESTADO DE POLÍTICA TERRITORIAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;1.352,15;
;11;Personal eventual;;5.877,66;
;12;Funcionarios;;161.663,64;
;13;Laborales;;21.434,10;
;15;Incentivos al rendimiento;;12.002,46;
;150;Productividad;;11.944,83;
;151;Gratificaciones;;57,63;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;27.879,28;
;16000; Seguridad Social;26.388,04;;
;16200; Formación y perfeccionamiento del personal;209,30;;
;16204; Acción social;700,61;;
;;TOTAL GASTOS DE PERSONAL;;230.209,29;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;2.555,20;
;202;Arrendamientos de edificios y otras construcciones;;2.518,20;
;21;Reparaciones, mantenimiento y conservación;;4.363,70;
;22;Material, suministros y otros;;28.640,47;
;22109; Labores Fábrica Nacional Moneda y Timbre;15,80;;
;22502; Locales;1.700,00;;
;22601; Atenciones protocolarias y representativas;232,70;;
;22611; Gastos protocolarios y representativos derivados de actos institucionales;77,49;;
;23;Indemnizaciones por razón del servicio;;1.002,93;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;36.562,30;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;2.763,20;
;352;Intereses de demora;;2.763,20;
;;TOTAL GASTOS FINANCIEROS;;2.763,20;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;29,13;
;481;Pensión vitalicia como consecuencia de la Sentencia de 20 de abril de 1994 de la Sección Sexta de la Audiencia Provincial de Madrid (Asunto "Alcalá 20");;29,13;
;;TOTAL TRANSFERENCIAS CORRIENTES;;29,13;
 ; ;;;;
;6;INVERSIONES REALES;;15.995,75;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;305,13;
;830;Préstamos a corto plazo;;145,13;
;83010; Anticipos a jurados de expropiación forzosa;122,31;;
;831;Préstamos a largo plazo;;160,00;
;;TOTAL ACTIVOS FINANCIEROS;;305,13;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE POLÍTICA TERRITORIAL;;285.864,80;
 ; ;;;;
 ; ;;;;
;;TOTAL Administración General del Estado en el Territorio;;285.864,80;
;;



