Económica;Explicación ;23.01; 23.02;23.12;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;34.075,15;2.165,44;10.493,29;46.733,88;46.733.880,00
10;Altos cargos;284,67;61,04;61,04;406,75;406.750,00
11;Personal eventual;785,95;—;—;785,95;785.950,00
12;Funcionarios;22.318,27;1.881,84;6.603,88;30.803,99;30.803.990,00
13;Laborales;117,4;—;2.330,35;2.447,75;2.447.750,00
15;Incentivos al rendimiento;7.784,26;—;—;7.784,26;7.784.260,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.784,60;222,56;1.498,02;4.505,18;4.505.180,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;—;24.581,51;24.581,51;24.581.510,00
3;GASTOS FINANCIEROS;—;—;15,17;15,17;15.170,00
4;TRANSFERENCIAS CORRIENTES;11.546,00;—;4.725,53;16.271,53;16.271.530,00
49;Al exterior – Organizaciones Internacionales;11.546,00;—;—;11.546,00;11.546.000,00
47–48;A empresas privadas y familias e instituciones sin fines de lucro;—;—;4.725,53;4.725,53;4.725.530,00
6;INVERSIONES REALES;—;—;12.300,00;12.300,00;12.300.000,00
7;TRANSFERENCIAS DE CAPITAL;13.170,00;—;—;13.170,00;13.170.000,00
8;ACTIVOS FINANCIEROS;—;—;168,36;168,36;168.360,00
—;TOTAL PROGRAMA 451O – Dirección y Servicios Generales;58.791,15;2.165,44;52.283,86;113.240,45;113.240.450,00
