Económica;Explicación;23.11;23.12;23.101;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;6.552,93;–;9.366,42;15.919,35;15.919.350
10;Altos cargos;61,04;–;–;61,04;61.040
12;Funcionarios;4.776,08;–;4.220,40;8.996,48;8.996.480
13;Laborales;640,41;–;2.463,58;3.103,99;3.103.990
15;Incentivos al rendimiento;–;–;1.081,88;1.081,88;1.081.880
16;Cuotas y gastos sociales;1.075,40;–;1.600,56;2.675,96;2.675.960
2;BIENES Y SERVICIOS;–;–;13.473,79;13.473,79;13.473.790
20;Arrendamientos y cánones;–;–;710,32;710,32;710.320
21;Reparaciones, mantenimiento;–;–;1.813,16;1.813,16;1.813.160
22;Material, suministros;–;–;10.414;10.414,34;10.414.340
23;Indemnizaciones por servicio;–;–;355,97;355,97;355.970
24;Publicaciones;–;–;180;180;180.000
3;GASTOS FINANCIEROS;–;–;15,5;15,5;15.500
35;Intereses y otros;–;–;15,5;15,5;15.500
4;TRANSFERENCIAS CORRIENTES;15.197,42;–;1.055,52;16.252,94;16.252.940
44;A entidades públicas;14.827,42;–;–;14.827,42;14.827.420
45;A Comunidades Autónomas;–;–;107,5;107,5;107.500
46;A Entidades Locales;20;–;105;125;125.000
47;A empresas privadas;–;–;100;100;100.000
48;A familias e instituciones;350;–;640,1;990,1;990.100
49;Al exterior;–;–;102,92;102,92;102.920
6;INVERSIONES REALES;142.667,20;–;31.616,96;174.284,16;174.284.160
60;Infraestructuras nuevas;7.000,00;–;15.248,89;22.248,89;22.248.890
61;Reposición infraestructuras;102.752,36;–;14.758,07;117.510,43;117.510.430
62;Nuevas para servicios;1.001,00;–;400;1.401,00;1.401.000
63;Reposición para servicios;3.002,00;–;305;3.307,00;3.307.000
64;Inversiones inmateriales;28.911,84;–;905;29.816,84;29.816.840
7;TRANSFERENCIAS DE CAPITAL;23.649,18;14.670,69;4.772,41;43.092,28;43.092.280
74;A entidades públicas;1.549,18;–;852,41;2.401,59;2.401.590
75;A Comunidades Autónomas;22.000,00;–;3.820,00;25.820,00;25.820.000
76;A Entidades Locales;100;14.670,69;–;14.770,69;14.770.690
79;Al exterior;–;–;100;100;100.000
8;ACTIVOS FINANCIEROS;22.000,00;–;15;22.015,00;22.015.000
82;Préstamos al Sector Público;22.000,00;–;–;22.000,00;22.000.000
83;Préstamos fuera del Sector Público;–;–;15;15;15.000
TOTAL;—;210.066,73;14.670,69;60.315,60;285.053,02;285.053.020
