;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456B Protección y mejora del medio ambiente;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.08;;DIRECCIÓN GENERAL DE CALIDAD Y EVALUACIÓN AMBIENTAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;5.755,64;
;13;Laborales;;21,67;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.096,32;
;16000; Seguridad Social;1.096,32;;
;;TOTAL GASTOS DE PERSONAL;;6.934,67;
 ; ;;;;
;6;INVERSIONES REALES;;7.040,08;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;8.500,13;
;751;A la Comunidad Autónoma de Canarias para subvencionar el transporte de residuos entre islas;;1.000,00;
;752;Política de residuos;;0,13;
;753;A la Comunidad Autónoma de La Rioja para la Ciudad del envase y embalaje;;500,00;
;756;PIMA Economía Circular;;7.000,00;
;76;A Entidades Locales;;2.700,00;
;761;A la Diputación Foral de Bizkaia para adecuación Ribera BI 711 y construcción puente ciclable;;2.000,00;
;762;Al Ayuntamiento de Asparrena para la ejecución de las obras de construcción de la Planta de Tratamiento de Biorresiduo proyectado para el futuro tratamiento de los biorresiduos generados en los 8 municipios de la Llanada Alavesa;;700,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;11.200,13;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE CALIDAD Y EVALUACIÓN AMBIENTAL;;25.174,88;
 ; ;;;;
 ; ;;;;
;;TOTAL Protección y mejora del medio ambiente;;25.174,88;
;;



