;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 456D Actuación en la costa;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.06;;DIRECCIÓN GENERAL DE LA COSTA Y DEL MAR;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;14.188,49;
;13;Laborales;;6.665,74;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;4.155,39;
;16000; Seguridad Social;4.155,39;;
;;TOTAL GASTOS DE PERSONAL;;25.070,66;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;1.869,28;
;481;Ayudas a los mariscadores de la ría de O Burgo.;;1.869,28;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.869,28;
 ; ;;;;
;6;INVERSIONES REALES;;68.765,51;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;950,00;
;761;Al Ayuntamiento de Donostia para restauración muro protección y barandilla del paseo de la Concha;;500,00;
;762;Al Ayuntamiento de Castell-Platja d'Aro para la redacción del proyecto de reforma del Passeig Marítim de Platja d'Aro;;150,00;
;763;Ajuntament de Deltebre. Entubamiento, bombeo y posterior urbanización del Passeig del Carrilet sobre el actual desagüe del “Préstamo” del municipio de Deltebre;;300,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;950,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA COSTA Y DEL MAR;;96.655,45;
 ; ;;;;
 ; ;;;;
;;TOTAL Actuación en la costa;;96.655,45;
;;



