;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;Programa: 45LC C12.I03 Plan de apoyo a la implementación de la normativa de residuos y al fomento de la economía circular;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
23.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;744;Al IDAE para PERTE en Economía Circular. Mecanismo de Recuperación y Resiliencia;;50.000,00;
;74503; Al FRER para PERTE en Economía Circular. Mecanismo de Recuperación y Resiliencia;150.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;250.000,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C12.I03 Plan de apoyo a la implementación de la normativa de residuos y al fomento de la economía circular;;250.000,00;
;;



