;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
42AB; C01.I02 Plan de incentivos a la instalación de puntos de recarga, a la adquisición de vehículos eléctricos y de pila de combustible y a la innovación en electromovilidad, recarga e hidrógeno verde;;;;;;455.000,00;;455.000,00;;;;455.000,00;
42BC; C02.I03 Programa de rehabilitación energética de edificios (PREE);;;;;;300.000,00;;300.000,00;;;;300.000,00;
42BD; C02.I04 Programa de regeneración y reto demográfico;;;;;;225.000,00;;225.000,00;;;;225.000,00;
42GA; C07.I01 Desarrollo de energías renovables innovadoras, integradas en la edificación y en los procesos productivos;;;;;;730.000,00;50.000,00;780.000,00;;;;780.000,00;
42GB; C07.I02 Energía sostenible en las islas;;;;;;25.000,00;;25.000,00;;;;25.000,00;
42HA; C08.I01 Despliegue del almacenamiento energético;;;;;;93.747,41;;93.747,41;;;;93.747,41;
42HB; C08.I02 Digitalización de las redes;;;;;;150.000,00;;150.000,00;;;;150.000,00;
42HC; C08.I03 Nuevos modelos de negocio en la transición energética;;;;;;56.000,00;;56.000,00;;;;56.000,00;
42IA; C09.I01 Hidrógeno renovable: un proyecto país;;;;;;672.817,00;;672.817,00;;;;672.817,00;
42JA; C10.I01 Inversiones en transición justa;;;;;11.000,00;158.252,59;;169.252,59;;;;169.252,59;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;;;;;;1.346,60;;1.346,60;;;;1.346,60;
423N; Explotación minera;707,52;;;4.580,01;;9.121,51;;14.409,04;;;;14.409,04;
424M; Seguridad nuclear y protección radiológica;28.205,07;12.292,50;421,00;1.244,12;4.271,00;1.430,00;68,00;47.931,69;;;;47.931,69;
425A; Normativa y desarrollo energético;6.405,36;;;286.451,44;27.622,98;34.266,00;471.220,64;825.966,42;;;;825.966,42;
45DA; C04.I01 Digitalización y conocimientos del patrimonio natural;;;;;46.851,02;2.977,39;;49.828,41;;;;49.828,41;
45DB; C04.I02 Conservación de la biodiversidad terrestre marina;;;;;154.114,68;200,00;;154.314,68;;;;154.314,68;
45DC; C04.I03 Restauración de ecosistemas e infraestructura verde;;;;;82.708,71;11.970,50;;94.679,21;;;;94.679,21;
45DD; C04.I04 Gestión forestal sostenible;;;;;94.973,65;2.366,38;;97.340,03;;;;97.340,03;
45EA; C05.I01 Materialización de actuaciones de depuración, saneamiento, eficiencia, ahorro, reutilización y seguridad de infraestructuras (DSEAR);;;;;;187.000,00;;187.000,00;;;;187.000,00;
45EB; C05.I02 Seguimiento y restauración de ecosistemas fluviales, recuperación de acuíferos y mitigación del riesgo de inundación;;;;;5.000,00;492.980,19;;497.980,19;;;;497.980,19;
45EC; C05.I03 Transición digital en el sector del agua. Infraestructuras y Ecosistemas Resilientes.;;;;;;370.000,00;;370.000,00;;;;370.000,00;
45ED; C05.I04 Adaptación de la costa al cambio climático e implementación de las Estrategias Marinas y de los planes de ordenación del espacio marítimo;;;;;;136.733,33;;136.733,33;;;;136.733,33;
45LC; C12.I03 Plan de apoyo a la implementación de la normativa de residuos y al fomento de la economía circular;;;;;992,97;249.007,03;;250.000,00;;;;250.000,00;
45SA; C19.I01 Competencias digitales transversales. Transición Ecológica;;;;77.500,00;;12.500,00;;90.000,00;;;;90.000,00;
451O; Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;46.733,88;24.581,51;15,17;16.271,53;12.300,00;13.170,00;168,36;113.240,45;;;;113.240,45;
452A; Gestión e infraestructuras del agua;169.191,68;428.127,12;3.061,59;8.805,11;549.330,64;91.384,55;1.650,11;1.251.550,80;35.500,00;;;1.287.050,80;
452M; Normativa y ordenación territorial de los recursos hídricos;1.174,48;;;8.500,00;;;386.820,49;396.494,97;;;;396.494,97;
456A; Calidad del agua;8.920,90;7.766,74;22,00;6.309,77;241.669,95;1,00;;264.690,36;;;;264.690,36;
456B; Protección y mejora del medio ambiente;6.934,67;;;;7.040,08;11.200,13;;25.174,88;;;;25.174,88;
456C; Protección y mejora del medio natural;15.919,35;13.473,79;15,50;16.252,94;174.284,16;43.092,28;22.015,00;285.053,02;;;;285.053,02;
456D; Actuación en la costa;25.070,66;;;1.869,28;68.765,51;950,00;;96.655,45;;;;96.655,45;
456E; Reto demográfico y lucha contra la despoblación;1.438,95;;;29.908,97;500,00;39.797,16;;71.645,08;;;;71.645,08;
456M; Actuaciones para la prevención de la contaminación y el cambio climático;2.781,63;;;1.097,28;1.968,24;10.800,00;12.000,00;28.647,15;;;;28.647,15;
456N; Transición justa;2.353,49;8.073,14;929,44;151.990,78;6.350,00;162.426,33;10,00;332.133,18;;;;332.133,18;
49EC; C05.I03 Transición digital en el sector del agua. Otras actuaciones de carácter económico.;;;;;2.500,00;83.457,32;;85.957,32;;;;85.957,32;
495B; Meteorología;43.247,06;28.635,07;50,00;9.786,57;14.425,00;35.014,44;100,00;131.258,14;;;;131.258,14;
;TOTAL CONSOLIDADO;359.084,70;522.949,87;4.514,70;620.567,80;1.506.668,59;4.869.009,14;944.052,60;8.826.847,40;35.500,00;;;8.862.347,40;
000X; Transferencias y libramientos internos;;;;295.353,41;;4.043.492,07;;4.338.845,48;;;;4.338.845,48;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;295.353,41;;4.043.492,07;;4.338.845,48;;;;4.338.845,48;
;TOTAL;359.084,70;522.949,87;4.514,70;915.921,21;1.506.668,59;8.912.501,21;944.052,60;13.165.692,88;35.500,00;;;13.201.192,88;
;;



