Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
24.105;2;Gastos corrientes en bienes y servicios;5;5.000,00
24.105;6;Inversiones reales;2.250,00;2.250.000,00
24.105;—;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;2.255,00;2.255.000,00
24.107;1;Gastos de personal;37.871,87;37.871.870,00
24.107;2;Gastos corrientes en bienes y servicios;33.848,94;33.848.940,00
24.107;3;Gastos financieros;53,48;53.480,00
24.107;4;Transferencias corrientes;40.007,60;40.007.600,00
24.107;6;Inversiones reales;4.008,36;4.008.360,00
24.107;7;Transferencias de capital;4.551,00;4.551.000,00
24.107;8;Activos financieros;30;30.000,00
24.107;—;TOTAL INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;120.371,25;120.371.250,00
—;—;TOTAL PROGRAMA 335A – Música y danza;122.626,25;122.626.250,00
