Económica;Explicación;24.103;24.105;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.549,22;—;8.549,22;8.549.220,00
10;Altos cargos;61,04;—;61,04;61.040,00
12;Funcionarios;5.201,74;—;5.201,74;5.201.740,00
13;Laborales;1.802,71;—;1.802,71;1.802.710,00
15;Incentivos al rendimiento;303,68;—;303,68;303.680,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.180,05;—;1.180,05;1.180.050,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.242,61;10;4.252,61;4.252.610,00
20;Arrendamientos y cánones;204,5;—;204,5;204.500,00
21;Reparaciones, mantenimiento y conservación;608;5;613;613.000,00
22;Material, suministros y otros;3.070;5;3.075,39;3.075.390,00
23;Indemnizaciones por razón del servicio;259,72;—;259,72;259.720,00
24;Gastos de publicaciones;100;—;100;100.000,00
3;GASTOS FINANCIEROS;40;—;40;40.000,00
35;Intereses de demora y otros gastos financieros;40;—;40;40.000,00
4;TRANSFERENCIAS CORRIENTES;150.382,67;—;150.382,67;150.382.670,00
45;A Comunidades Autónomas;39.201,75;—;39.201,75;39.201.750,00
46;A Entidades Locales;1.989,10;—;1.989,10;1.989.100,00
47;A empresas privadas;107.852,06;—;107.852,06;107.852.060,00
48;A familias e instituciones sin fines de lucro;1.339,76;—;1.339,76;1.339.760,00
6;INVERSIONES REALES;835;3.000,00;3.835,00;3.835.000,00
62;Inversión nueva asociada al funcionamiento operativo;150;—;150;150.000,00
63;Inversión de reposición asociada al funcionamiento operativo;385;3.000,00;3.385,00;3.385.000,00
64;Gastos de inversiones de carácter inmaterial;300;—;300;300.000,00
7;TRANSFERENCIAS DE CAPITAL;30;—;30;30.000,00
76;A Entidades Locales;30;—;30;30.000,00
8;ACTIVOS FINANCIEROS;54;—;54;54.000,00
83;Concesión de préstamos fuera del Sector Público;54;—;54;54.000,00
—;TOTAL PROGRAMA 335C – Cinematografía;164.133,50;3.010,00;167.143,50;167.143.500,00
