;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 331M Dirección y Servicios Generales de Cultura;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;24.01;24.02;24.04;24.06;24.105;Total;
1;GASTOS DE PERSONAL;25.467,09;3.550,78;647,57;624,08;5.478,30;35.767,82;
10; Altos cargos;208,56;61,04;;71,16;;340,76;
11; Personal eventual;533,77;;;;;533,77;
12; Funcionarios;16.178,87;3.002,78;560,79;500,89;3.979,46;24.222,79;
13; Laborales;2.194,69;214,88;;;333,21;2.742,78;
15; Incentivos al rendimiento;4.165,08;;;;569,84;4.734,92;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.186,12;272,08;86,78;52,03;595,79;3.192,80;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.859,38;592,90;619,10;3.840,85;1.006,00;11.918,23;
20; Arrendamientos y cánones;104,00;;;;5,00;109,00;
21; Reparaciones, mantenimiento y conservación;648,00;;;;220,00;868,00;
22; Material, suministros y otros;4.349,38;423,00;436,50;3.760,85;621,00;9.590,73;
23; Indemnizaciones por razón del servicio;758,00;14,02;182,60;80,00;160,00;1.194,62;
24; Gastos de publicaciones;;155,88;;;;155,88;
3;GASTOS FINANCIEROS;3,50;;;;1,00;4,50;
35; Intereses de demora y otros gastos financieros;3,50;;;;1,00;4,50;
4;TRANSFERENCIAS CORRIENTES;36,50;;;45,00;;81,50;
48; A familias e instituciones sin fines de lucro;36,50;;;45,00;;81,50;
6;INVERSIONES REALES;3.547,00;44,00;435,00;27,32;4.200,00;8.253,32;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;150,00;22,00;146,00;27,32;;345,32;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.673,00;;35,00;;4.200,00;5.908,00;
64; Gastos de inversiones de carácter inmaterial;1.724,00;22,00;254,00;;;2.000,00;
8;ACTIVOS FINANCIEROS;133,94;;;;27,00;160,94;
83; Concesión de préstamos fuera del Sector Público;133,94;;;;27,00;160,94;
;TOTAL;35.047,41;4.187,68;1.701,67;4.537,25;10.712,30;56.186,31;
;;



