;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
26BA; C02.I01 Programa de rehabilitación para la recuperación económica y social en entornos residenciales;1.980.000,00;1.980.000,00;
26BB; C02.I02 Programa de construcción de viviendas en alquiler social en edificios energéticamente eficientes;500.000,00;500.000,00;
261M; Dirección y Servicios Generales de Vivienda y Agenda Urbana;4.254,00;4.254,00;
261N; Promoción, administración y ayudas para rehabilitación y acceso a vivienda;959.516,75;959.516,75;
261O; Ordenación y fomento de la edificación;30.441,82;30.441,82;
261P; Urbanismo y política del suelo;6.722,08;6.722,08;
;TOTAL CONSOLIDADO;3.480.934,65;3.480.934,65;
000X; Transferencias y libramientos internos;900,00;900,00;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;900,00;900,00;
;TOTAL;3.481.834,65;3.481.834,65;
;;



