Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
26.09;;DIRECCIÓN GENERAL DE CARTERA COMÚN DE SERVICIOS DEL SNS Y FARMACIA;;
;10;Altos cargos;61,04;61.040,00
;12;Funcionarios;3.487,70;3.487.700,00
;13;Laborales;23,77;23.770,00
;16;Cuotas y gastos sociales (Seguridad Social);665,09;665.090,00
;;Total Gastos de Personal;4.237,60;4.237.600,00
;22;Material, suministros y otros;6.323,70;6.323.700,00
;228;Emergencia COVID-19 en el SNS;5.771,70;5.771.700,00
;23;Indemnizaciones por razón del servicio;32;32.000,00
;;Total Gastos Corrientes en Bienes y Servicios;6.355,70;6.355.700,00
;45;A Comunidades Autónomas;112.593,00;112.593.000,00
;450–457;Reasentamiento, salud bucodental, Fondo de Equidad, Red de Evaluación;Incluido;—
;;Total Transferencias Corrientes;112.593,00;112.593.000,00
;6;Inversiones reales;24.306,00;24.306.000,00
;;Total Dirección General SNS y Farmacia;147.492,30;147.492.300,00
26.301;;AGENCIA ESPAÑOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS;;
;15;Incentivos al rendimiento (Productividad);2.032,69;2.032.690,00
;16200;Formación y perfeccionamiento del personal;167,69;167.690,00
;16201;Economatos y comedores;42,68;42.680,00
;16204;Acción social;49,27;49.270,00
;;Total Gastos de Personal;29.660,17;29.660.170,00
;202;Arrendamientos de edificios;4.100,00;4.100.000,00
;22502;Locales;25;25.000,00
;22601;Atenciones protocolarias;2,34;2.340,00
;451–48615;Transferencias a CCAA, universidades, sociedades científicas, registros, vigilancia y uso racional de antibióticos;24.915,11;24.915.110,00
;;Total Agencia Española de Medicamentos y Productos Sanitarios;58.762,62;58.762.620,00
;;TOTAL PROGRAMA 313A – Prestaciones Sanitarias y Farmacia;206.254,92;206.254.920,00
