;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 431N Ordenación del comercio exterior;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;27.10;27.14;27.15;;;Total;
1;GASTOS DE PERSONAL;;3.842,23;;;;3.842,23;
12; Funcionarios;;3.298,04;;;;3.298,04;
13; Laborales;;256,68;;;;256,68;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;287,51;;;;287,51;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;794,10;;;794,10;
21; Reparaciones, mantenimiento y conservación;;;126,00;;;126,00;
22; Material, suministros y otros;;;291,00;;;291,00;
23; Indemnizaciones por razón del servicio;;;377,10;;;377,10;
4;TRANSFERENCIAS CORRIENTES;2.273,74;;2.502,38;;;4.776,12;
48; A familias e instituciones sin fines de lucro;2.273,74;;365,78;;;2.639,52;
49; Al exterior;;;2.136,60;;;2.136,60;
6;INVERSIONES REALES;;;420,00;;;420,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;300,00;;;300,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;120,00;;;120,00;
;TOTAL;2.273,74;3.842,23;3.716,48;;;9.832,45;
;;



