;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 431O Ordenación y modernización de las estructuras comerciales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.15;;DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;6.070,34;
;13;Laborales;;287,65;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;666,41;
;16000; Seguridad Social;666,41;;
;;TOTAL GASTOS DE PERSONAL;;7.085,44;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;582,13;
;23;Indemnizaciones por razón del servicio;;70,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;652,13;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;25,00;
;470;Premios al pequeño comerciante para el desarrollo comercial y la modernización empresarial;;25,00;
;48;A familias e instituciones sin fines de lucro;;109,00;
;481;Premios a asociaciones de comerciantes sin fines de lucro para creación y desarrollo de centros comerciales abiertos;;25,00;
;482;Premios al concurso de ideas tecnológicas para el comercio minorista;;34,00;
;483;A la Confederación Española de Comercio;;50,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;134,00;
 ; ;;;;
;6;INVERSIONES REALES;;5,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;76;A Entidades Locales;;600,00;
;763;Al Ayuntamiento de Burgos para mercado provisional;;100,00;
;764;Al Ayuntamiento de Ondarroa, Redacción Proyecto para renovación de la Berdura Plaza;;500,00;
;78;A familias e instituciones sin fines de lucro;;2.127,50;
;783;Actuaciones de apoyo a la competitividad del comercio minorista;;2.127,50;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.727,50;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL;;10.604,07;
 ; ;;;;
 ; ;;;;
;;TOTAL Ordenación y modernización de las estructuras comerciales;;10.604,07;
;;



