;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 43ME C13.I05 Internacionalización. PYMES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;471;Plan de Digitalización de la Cámara Oficial de Comercio, Industria, Servicios y Navegación de España. Mecanismo de Recuperación y Resiliencia;;1.000,00;
;742;Al ICEX para la ejecución de los Programas del Mecanismo de Recuperación y Resiliencia;;52.895,00;
;743;A COFIDES para el Programa de impulso de proyectos de inversión de impacto. Mecanismo de Recuperación y Resiliencia;;850,00;
;781;A la Cámara Oficial de Comercio, Industria y Navegación en España. Programa de Mentoring y Apoyo a la Internacionalización. Mecanismo de Recuperación y Resiliencia;;13.000,00;
;87901; Línea de Financiación no reembolsable de estudios de viabilidad en el marco del Fondo para la Internacionalización de las Empresas (FIEM). Mecanismo de Recuperación y Resiliencia;20.000,00;;
;87902; Al Fondo de Coinversión con Instituciones Soberanas. Mecanismo de Recuperación y Resiliencia;950.000,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;1.042.350,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C13.I05 Internacionalización. PYMES;;1.042.350,00;
;;



