;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 492M Defensa de la competencia en los mercados y regulación de sectores productivos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.302;;COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;1.490,33;
;150;Productividad;;1.484,79;
;151;Gratificaciones;;5,54;
;16000; Seguridad Social;5.306,63;;
;16200; Formación y perfeccionamiento del personal;368,60;;
;16204; Acción social;732,74;;
;;TOTAL GASTOS DE PERSONAL;;35.947,14;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;85,12;
;22502; Locales;438,30;;
;22601; Atenciones protocolarias y representativas;83,01;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;21.216,49;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;298,50;
;352;Intereses de demora;;100,00;
;359;Otros gastos financieros;;198,50;
;;TOTAL GASTOS FINANCIEROS;;298,50;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;502,08;
;481;Becas de la CNMC;;220,00;
;482;Indemnización a expresidentes y exconsejeros;;189,08;
;483;Premios CNMC;;8,00;
;484;Prácticas Doctorandos CNMC;;85,00;
;49;Al exterior;;188,30;
;490;Cuotas a organismos internacionales;;188,30;
;;TOTAL TRANSFERENCIAS CORRIENTES;;690,38;
 ; ;;;;
;6;INVERSIONES REALES;;4.079,74;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;60,40;
;830;Préstamos a corto plazo;;10,40;
;831;Préstamos a largo plazo;;50,00;
;;TOTAL ACTIVOS FINANCIEROS;;60,40;
 ; ;;;;
;;TOTAL COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA;;62.292,65;
 ; ;;;;
 ; ;;;;
;;TOTAL Defensa de la competencia en los mercados y regulación de sectores productivos;;62.292,65;
;;



