;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 493O Regulación contable y de auditorías;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
27.102;;INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;328,51;
;150;Productividad;;325,12;
;151;Gratificaciones;;3,39;
;16000; Seguridad Social;686,02;;
;16200; Formación y perfeccionamiento del personal;24,35;;
;16201; Economatos y comedores;183,68;;
;16204; Acción social;10,16;;
;;TOTAL GASTOS DE PERSONAL;;5.679,20;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;70,95;
;22502; Locales;72,00;;
;22601; Atenciones protocolarias y representativas;1,97;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.768,50;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;0,60;
;359;Otros gastos financieros;;0,60;
;;TOTAL GASTOS FINANCIEROS;;0,60;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;6,00;
;450;A la Fundación General Universidad Autónoma;;6,00;
;48;A familias e instituciones sin fines de lucro;;42,79;
;480;A la Asociación Española de Administración y Contabilidad de Empresas;;36,79;
;481;A la Asociación XBRL;;6,00;
;49;Al exterior;;368,16;
;490;Al Foro Internacional de Organismos Supervisores de Auditoría (IFIAR);;18,16;
;491;Al European Financial Reporting Advisory Group (EFRAG);;350,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;416,95;
 ; ;;;;
;6;INVERSIONES REALES;;629,06;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;20,00;
;830;Préstamos a corto plazo;;4,00;
;831;Préstamos a largo plazo;;16,00;
;;TOTAL ACTIVOS FINANCIEROS;;20,00;
 ; ;;;;
;;TOTAL INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS;;10.514,31;
 ; ;;;;
 ; ;;;;
;;TOTAL Regulación contable y de auditorías;;10.514,31;
;;



