;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
425A; Normativa y desarrollo energético;;;3.514.141,75;3.514.141,75;
43MD; C13.I04 Apoyo al Comercio;123.150,00;;;123.150,00;
43ME; C13.I05 Internacionalización. PYMES;1.042.350,00;;;1.042.350,00;
431A; Promoción comercial e internacionalización de la empresa;409.450,62;;;409.450,62;
431N; Ordenación del comercio exterior;9.832,45;;;9.832,45;
431O; Ordenación y modernización de las estructuras comerciales;10.604,07;;;10.604,07;
491N; Servicio postal universal;;;110.000,00;110.000,00;
492M; Defensa de la competencia en los mercados y regulación de sectores productivos;;;62.292,65;62.292,65;
493M; Dirección, control y gestión de seguros;18.938,42;;;18.938,42;
493O; Regulación contable y de auditorías;;10.514,31;;10.514,31;
92KA; C11.I01 Modernización de la Administración General del Estado. Servicios de carácter general;2.606,83;;;2.606,83;
923C; Elaboración y difusión estadística;;192.789,17;;192.789,17;
923O; Gestión de la Deuda y de la Tesorería del Estado;61.191,03;;;61.191,03;
923P; Relaciones con Instituciones Financieras Multilaterales;519.834,66;;;519.834,66;
923Q; Dirección y Servicios Generales de Economía, Comercio y Empresa;69.595,04;;;69.595,04;
931M; Previsión y política económica;20.307,86;;;20.307,86;
;TOTAL CONSOLIDADO;2.287.860,98;203.303,48;3.686.434,40;6.177.598,86;
000X; Transferencias y libramientos internos;221.723,02;393,46;;222.116,48;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;221.723,02;393,46;;222.116,48;
;TOTAL;2.509.584,00;203.696,94;3.686.434,40;6.399.715,34;
;;



