Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.01;44;A entidades del Sector Público Estatal;1.106,00;1.106.000,00
28.01;44901;Fundación Residencia de Estudiantes – becas;96;96.000,00
28.01;44902;Fundación Residencia de Estudiantes – funcionamiento;1.010,00;1.010.000,00
28.01;48;A familias e instituciones sin fines de lucro;18.014,79;18.014.790,00
28.01;480–488;Ayudas a academias e instituciones culturales y científicas;—;—
28.01;483–486;Otras transferencias corrientes;—;—
;;Total Transferencias Corrientes (28.01);19.120,79;19.120.790,00
28.01;74–78;Transferencias de capital;5.016,85;5.016.850,00
;;Total Ministerio, Subsecretaría y Servicios Generales;24.137,64;24.137.640,00
28.09;22–23;Gastos corrientes en bienes y servicios;846,6;846.600,00
28.09;35;Gastos financieros;15;15.000,00
28.09;45–48;Transferencias corrientes;3.075,00;3.075.000,00
28.09;74–78;Transferencias de capital;127.522,34;127.522.340,00
;;Total Secretaría General de Universidades;131.458,94;131.458.940,00
28.301;15;Incentivos al rendimiento;29.253,32;29.253.320,00
28.301;150–151;Productividad y gratificaciones;29.253,32;29.253.320,00
28.301;16200–16204;Formación, comedores, acción social;—;—
28.301;202–455;Gastos operativos, arrendamientos, aportaciones a centros de investigación;—;—
;;Total Consejo Superior de Investigaciones Científicas (CSIC);1.060.096,29;1.060.096.290,00
;;TOTAL PROGRAMA 463A: INVESTIGACIÓN CIENTÍFICA;1.215.692,87;1.215.692.870,00
