;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 461M Dirección y Servicios Generales de Ciencia, Innovación y Universidades;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;28.01;28.02;Total;
1;GASTOS DE PERSONAL;41.334,30;2.327,22;43.661,52;
10; Altos cargos;279,72;61,04;340,76;
11; Personal eventual;685,56;;685,56;
12; Funcionarios;35.937,63;1.993,49;37.931,12;
13; Laborales;612,62;;612,62;
15; Incentivos al rendimiento;1.930,48;;1.930,48;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.888,29;272,69;2.160,98;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.328,91;766,27;9.095,18;
20; Arrendamientos y cánones;622,43;;622,43;
21; Reparaciones, mantenimiento y conservación;507,26;;507,26;
22; Material, suministros y otros;6.733,23;561,80;7.295,03;
23; Indemnizaciones por razón del servicio;465,99;1,47;467,46;
24; Gastos de publicaciones;;203,00;203,00;
6;INVERSIONES REALES;4.850,59;;4.850,59;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.850,59;;1.850,59;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.500,00;;2.500,00;
64; Gastos de inversiones de carácter inmaterial;500,00;;500,00;
8;ACTIVOS FINANCIEROS;20,00;;20,00;
83; Concesión de préstamos fuera del Sector Público;20,00;;20,00;
;TOTAL;54.533,80;3.093,49;57.627,29;
;;



