;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 239N Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;29.01;29.02;Total;
1;GASTOS DE PERSONAL;17.581,07;2.069,02;19.650,09;
10; Altos cargos;208,56;61,04;269,60;
11; Personal eventual;517,75;;517,75;
12; Funcionarios;9.640,93;1.645,42;11.286,35;
13; Laborales;2.177,35;;2.177,35;
15; Incentivos al rendimiento;3.041,11;;3.041,11;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.995,37;362,56;2.357,93;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.728,74;210,95;7.939,69;
20; Arrendamientos y cánones;1.042,30;;1.042,30;
21; Reparaciones, mantenimiento y conservación;465,86;;465,86;
22; Material, suministros y otros;5.892,63;102,40;5.995,03;
23; Indemnizaciones por razón del servicio;327,95;87,46;415,41;
24; Gastos de publicaciones;;21,09;21,09;
4;TRANSFERENCIAS CORRIENTES;;11,30;11,30;
49; Al exterior;;11,30;11,30;
6;INVERSIONES REALES;1.942,00;;1.942,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;469,96;;469,96;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;1.072,04;;1.072,04;
64; Gastos de inversiones de carácter inmaterial;400,00;;400,00;
8;ACTIVOS FINANCIEROS;42,88;;42,88;
83; Concesión de préstamos fuera del Sector Público;42,88;;42,88;
;TOTAL;27.294,69;2.291,27;29.585,96;
;;



