;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 492O Protección y promoción de los derechos de los consumidores y usuarios;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
29.09;;DIRECCIÓN GENERAL DE CONSUMO;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;5.643,09;
;13;Laborales;;818,56;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.882,44;
;16000; Seguridad Social;1.760,72;;
;16200; Formación y perfeccionamiento del personal;9,46;;
;;TOTAL GASTOS DE PERSONAL;;8.405,13;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;2,00;
;21;Reparaciones, mantenimiento y conservación;;352,91;
;22;Material, suministros y otros;;2.040,60;
;22502; Locales;50,00;;
;22601; Atenciones protocolarias y representativas;2,34;;
;23;Indemnizaciones por razón del servicio;;164,58;
;24;Gastos de publicaciones;;24,10;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.584,19;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;5,00;
;352;Intereses de demora;;5,00;
;;TOTAL GASTOS FINANCIEROS;;5,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;1.230,18;
;451;Ayuda a la gestión de las Juntas Arbitrales adscritas a administraciones autonómicas;;1.230,18;
;46;A Entidades Locales;;1.200,48;
;461;Ayuda a la gestión de las Juntas Arbitrales adscritas a administraciones locales;;1.200,48;
;48;A familias e instituciones sin fines de lucro;;3.154,80;
;482;Ayudas y subvenciones para impulsar, orientar y desarrollar, etc, colaborando con las asociaciones de consumidores, cooperativas de consumo, instituciones públicas y privadas y personas físicas de ámbito nacional sobre asuntos de política de consumo y de los consumidores, educación para el consumo y didáctica sobre la educación para el consumo;;3.080,53;
;483;Ayudas y subvenciones para la formación de postgraduados especialistas en consumo, mediante la colaboración en la actividad del Consejo de Consumidores;;42,44;
;484;Ayudas para la formación de postgraduados especialistas en consumo mediante colaboración en la actividad del CICC;;31,83;
;;TOTAL TRANSFERENCIAS CORRIENTES;;5.585,46;
 ; ;;;;
;6;INVERSIONES REALES;;980,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE CONSUMO;;17.559,78;
 ; ;;;;
 ; ;;;;
;;TOTAL Protección y promoción de los derechos de los consumidores y usuarios;;17.559,78;
;;



