;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 496M Regulación del juego;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
29.10;;DIRECCIÓN GENERAL DE ORDENACIÓN DEL JUEGO;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,04;
;12;Funcionarios;;1.767,90;
;13;Laborales;;283,21;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;220,00;
;16000; Seguridad Social;210,00;;
;16200; Formación y perfeccionamiento del personal;10,00;;
;;TOTAL GASTOS DE PERSONAL;;2.332,15;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;4.036,87;
;22601; Atenciones protocolarias y representativas;2,34;;
;22708; Estudios y trabajos técnicos financiados con las tasas por la gestión administrativa del juego;820,00;;
;23;Indemnizaciones por razón del servicio;;28,73;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;4.065,60;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;45;A Comunidades Autónomas;;1.400,00;
;451;Subvenciones para el desarrollo de actividades de investigación relacionadas con la prevención de los trastornos de juego y sus efectos, así como con los riesgos asociados a esta actividad financiadas con las tasas por la gestión administrativa del juego;;1.300,00;
;453;Subvenciones nominativas a hospitales públicos financiadas con las tasas por la gestión administrativa del juego;;100,00;
;45301; Subvención nominativa al hospital público Bellvitge para el desarrollo del mecanismo de detección de comportamientos de riesgo a través del estudio de los casos de sus pacientes, financiada con las tasas por la gestión administrativa del juego;50,00;;
;45302; Subvención nominativa al hospital público Ramón y Cajal para el desarrollo del mecanismo de detección de comportamientos de riesgo a través del estudio de los casos de sus pacientes, financiada con las tasas por la gestión administrativa del juego;50,00;;
;48;A familias e instituciones sin fines de lucro;;825,00;
;480;Subvenciones para desarrollo de actividades de investigación relacionadas con la prevención de los trastornos de juego y sus efectos, así como con los riesgos asociados a esta actividad financiadas con las tasas por la gestión administrativa del juego;;700,00;
;489;Subvenciones nominativas para el desarrollo del mecanismo de detección de comportamientos de riesgo a través del estudio de los casos de las personas en tratamiento, financiadas con las tasas por la gestión administrativa del juego;;125,00;
;48901; Subvención nominativa a FEJAR (Federación Española de Jugadores de Azar Rehabilitados) para el desarrollo del mecanismo de detección de comportamientos de riesgo a través del estudio de los casos de las personas en tratamiento, financiada con las tasas por la gestión administrativa del juego;100,00;;
;48902; Subvención nominativa a ACENCAS ( Asociación Centro Catalán de Adicciones Sociales ) para el desarrollo del mecanismo de detección de comportamientos de riesgo a través del estudio de los casos de las personas en tratamiento, financiada con las tasas por la gestión administrativa del juego;20,00;;
;48903; Subvención nominativa a AZAJER (Asociación Aragonesa de Jugadores de Azar en Rehabilitación) para el desarrollo del mecanismo de detección de comportamientos de riesgo a través del estudio de las personas en tratamiento, financiada con las tasas por la gestión administrativa del juego;5,00;;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.225,00;
 ; ;;;;
;6;INVERSIONES REALES;;;
;621;Inversión nueva asociada al funcionamiento operativo de los servicios financiada con las tasas por la gestión administrativa del juego;;410,00;
;641;Gastos en inversión de carácter inmaterial financiados con las tasas por la gestión administrativa del juego;;2.100,00;
;;TOTAL INVERSIONES REALES;;3.741,85;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE ORDENACIÓN DEL JUEGO;;12.364,60;
 ; ;;;;
 ; ;;;;
;;TOTAL Regulación del juego;;12.364,60;
;;



